userId,itemId,rank
5115,3981,1
5115,16045,2
5115,28,3
5115,14,4
5115,14607,5
5115,477,6
5115,7545,7
5115,1203,8
5115,17,9
5115,226,10
3369,3981,1
3369,16045,2
3369,28,3
3369,14,4
3369,14607,5
3369,477,6
3369,7545,7
3369,1203,8
3369,17,9
3369,226,10
126,3981,1
126,16045,2
126,28,3
126,14,4
126,14607,5
126,477,6
126,7545,7
126,1203,8
126,226,9
126,17,10
5297,3981,1
5297,16045,2
5297,28,3
5297,14,4
5297,14607,5
5297,477,6
5297,7545,7
5297,1203,8
5297,17,9
5297,226,10
5090,3981,1
5090,16045,2
5090,28,3
5090,14,4
5090,14607,5
5090,477,6
5090,7545,7
5090,1203,8
5090,17,9
5090,226,10
1098,3981,1
1098,16045,2
1098,28,3
1098,14,4
1098,14607,5
1098,477,6
1098,7545,7
1098,1203,8
1098,17,9
1098,226,10
5366,3981,1
5366,16045,2
5366,28,3
5366,14,4
5366,14607,5
5366,477,6
5366,7545,7
5366,1203,8
5366,17,9
5366,226,10
4482,3981,1
4482,16045,2
4482,28,3
4482,14,4
4482,14607,5
4482,477,6
4482,7545,7
4482,1203,8
4482,17,9
4482,226,10
3948,3981,1
3948,16045,2
3948,28,3
3948,14,4
3948,14607,5
3948,477,6
3948,7545,7
3948,1203,8
3948,17,9
3948,226,10
1819,3981,1
1819,16045,2
1819,28,3
1819,14,4
1819,14607,5
1819,477,6
1819,7545,7
1819,1203,8
1819,17,9
1819,226,10
2796,3981,1
2796,16045,2
2796,28,3
2796,14,4
2796,14607,5
2796,477,6
2796,7545,7
2796,1203,8
2796,17,9
2796,226,10
5472,3981,1
5472,16045,2
5472,28,3
5472,14,4
5472,14607,5
5472,477,6
5472,7545,7
5472,1203,8
5472,17,9
5472,226,10
3431,3981,1
3431,16045,2
3431,28,3
3431,14,4
3431,477,5
3431,14607,6
3431,7545,7
3431,1203,8
3431,17,9
3431,226,10
3843,3981,1
3843,16045,2
3843,28,3
3843,14,4
3843,14607,5
3843,477,6
3843,7545,7
3843,1203,8
3843,17,9
3843,226,10
4469,3981,1
4469,16045,2
4469,28,3
4469,14,4
4469,14607,5
4469,477,6
4469,7545,7
4469,1203,8
4469,17,9
4469,226,10
4135,3981,1
4135,16045,2
4135,28,3
4135,14,4
4135,14607,5
4135,477,6
4135,7545,7
4135,1203,8
4135,17,9
4135,226,10
1956,3981,1
1956,16045,2
1956,28,3
1956,14,4
1956,14607,5
1956,477,6
1956,7545,7
1956,1203,8
1956,17,9
1956,226,10
3222,3981,1
3222,16045,2
3222,28,3
3222,14,4
3222,14607,5
3222,477,6
3222,7545,7
3222,1203,8
3222,17,9
3222,226,10
3801,3981,1
3801,16045,2
3801,28,3
3801,14,4
3801,14607,5
3801,477,6
3801,7545,7
3801,1203,8
3801,17,9
3801,226,10
2193,3981,1
2193,16045,2
2193,28,3
2193,14,4
2193,14607,5
2193,477,6
2193,7545,7
2193,1203,8
2193,17,9
2193,226,10
3146,3981,1
3146,16045,2
3146,28,3
3146,14,4
3146,14607,5
3146,477,6
3146,7545,7
3146,1203,8
3146,17,9
3146,226,10
1752,3981,1
1752,16045,2
1752,28,3
1752,14,4
1752,14607,5
1752,477,6
1752,7545,7
1752,1203,8
1752,17,9
1752,226,10
863,3981,1
863,16045,2
863,28,3
863,14,4
863,14607,5
863,477,6
863,7545,7
863,1203,8
863,17,9
863,226,10
2922,3981,1
2922,16045,2
2922,28,3
2922,14,4
2922,14607,5
2922,477,6
2922,7545,7
2922,1203,8
2922,17,9
2922,226,10
1108,3981,1
1108,16045,2
1108,28,3
1108,14,4
1108,14607,5
1108,477,6
1108,7545,7
1108,1203,8
1108,17,9
1108,226,10
3039,3981,1
3039,16045,2
3039,28,3
3039,14,4
3039,14607,5
3039,477,6
3039,7545,7
3039,1203,8
3039,17,9
3039,226,10
5358,3981,1
5358,16045,2
5358,28,3
5358,14,4
5358,14607,5
5358,477,6
5358,7545,7
5358,1203,8
5358,17,9
5358,226,10
2591,3981,1
2591,16045,2
2591,28,3
2591,14,4
2591,14607,5
2591,477,6
2591,7545,7
2591,1203,8
2591,17,9
2591,226,10
1375,3981,1
1375,16045,2
1375,28,3
1375,14,4
1375,14607,5
1375,477,6
1375,7545,7
1375,1203,8
1375,17,9
1375,226,10
5135,3981,1
5135,16045,2
5135,28,3
5135,14,4
5135,14607,5
5135,477,6
5135,7545,7
5135,1203,8
5135,17,9
5135,226,10
2981,3981,1
2981,16045,2
2981,28,3
2981,14,4
2981,14607,5
2981,477,6
2981,7545,7
2981,1203,8
2981,17,9
2981,226,10
1282,3981,1
1282,16045,2
1282,28,3
1282,14,4
1282,14607,5
1282,477,6
1282,7545,7
1282,1203,8
1282,17,9
1282,226,10
2286,3981,1
2286,16045,2
2286,28,3
2286,14,4
2286,14607,5
2286,477,6
2286,7545,7
2286,1203,8
2286,17,9
2286,226,10
915,3981,1
915,16045,2
915,28,3
915,14,4
915,14607,5
915,477,6
915,7545,7
915,1203,8
915,17,9
915,226,10
4999,3981,1
4999,16045,2
4999,28,3
4999,14,4
4999,14607,5
4999,477,6
4999,7545,7
4999,1203,8
4999,17,9
4999,226,10
3514,3981,1
3514,16045,2
3514,28,3
3514,14,4
3514,14607,5
3514,477,6
3514,7545,7
3514,1203,8
3514,226,9
3514,17,10
5272,3981,1
5272,16045,2
5272,28,3
5272,14,4
5272,14607,5
5272,477,6
5272,7545,7
5272,1203,8
5272,17,9
5272,226,10
841,3981,1
841,16045,2
841,28,3
841,14,4
841,14607,5
841,477,6
841,7545,7
841,1203,8
841,17,9
841,226,10
213,3981,1
213,16045,2
213,28,3
213,14,4
213,14607,5
213,477,6
213,7545,7
213,1203,8
213,17,9
213,226,10
5154,3981,1
5154,16045,2
5154,28,3
5154,14,4
5154,14607,5
5154,477,6
5154,7545,7
5154,1203,8
5154,17,9
5154,226,10
2519,3981,1
2519,16045,2
2519,28,3
2519,14,4
2519,14607,5
2519,477,6
2519,7545,7
2519,1203,8
2519,17,9
2519,226,10
2333,3981,1
2333,16045,2
2333,28,3
2333,14,4
2333,14607,5
2333,477,6
2333,7545,7
2333,1203,8
2333,17,9
2333,226,10
1891,3981,1
1891,16045,2
1891,28,3
1891,14,4
1891,14607,5
1891,477,6
1891,7545,7
1891,1203,8
1891,17,9
1891,226,10
694,3981,1
694,16045,2
694,28,3
694,14,4
694,14607,5
694,477,6
694,7545,7
694,1203,8
694,17,9
694,226,10
2178,3981,1
2178,16045,2
2178,28,3
2178,14,4
2178,14607,5
2178,477,6
2178,7545,7
2178,1203,8
2178,17,9
2178,226,10
4676,3981,1
4676,16045,2
4676,28,3
4676,14,4
4676,14607,5
4676,477,6
4676,7545,7
4676,1203,8
4676,17,9
4676,226,10
426,3981,1
426,16045,2
426,28,3
426,14,4
426,14607,5
426,477,6
426,7545,7
426,1203,8
426,17,9
426,226,10
3670,3981,1
3670,16045,2
3670,28,3
3670,14,4
3670,14607,5
3670,477,6
3670,7545,7
3670,1203,8
3670,17,9
3670,226,10
671,3981,1
671,16045,2
671,28,3
671,14,4
671,14607,5
671,477,6
671,7545,7
671,1203,8
671,17,9
671,226,10
4013,3981,1
4013,16045,2
4013,28,3
4013,14,4
4013,14607,5
4013,477,6
4013,7545,7
4013,1203,8
4013,226,9
4013,17,10
5069,3981,1
5069,16045,2
5069,28,3
5069,14,4
5069,14607,5
5069,477,6
5069,7545,7
5069,1203,8
5069,17,9
5069,226,10
2554,3981,1
2554,16045,2
2554,28,3
2554,14,4
2554,14607,5
2554,477,6
2554,7545,7
2554,1203,8
2554,17,9
2554,226,10
4931,3981,1
4931,16045,2
4931,28,3
4931,14,4
4931,14607,5
4931,477,6
4931,7545,7
4931,1203,8
4931,17,9
4931,226,10
1879,3981,1
1879,16045,2
1879,28,3
1879,14,4
1879,14607,5
1879,477,6
1879,7545,7
1879,1203,8
1879,17,9
1879,226,10
1088,3981,1
1088,16045,2
1088,28,3
1088,14,4
1088,14607,5
1088,477,6
1088,7545,7
1088,1203,8
1088,17,9
1088,226,10
4677,3981,1
4677,16045,2
4677,28,3
4677,14,4
4677,14607,5
4677,477,6
4677,7545,7
4677,1203,8
4677,17,9
4677,226,10
3736,3981,1
3736,16045,2
3736,28,3
3736,14,4
3736,14607,5
3736,477,6
3736,7545,7
3736,1203,8
3736,17,9
3736,226,10
2589,3981,1
2589,16045,2
2589,28,3
2589,14,4
2589,477,5
2589,14607,6
2589,7545,7
2589,1203,8
2589,17,9
2589,226,10
2275,3981,1
2275,16045,2
2275,28,3
2275,14,4
2275,14607,5
2275,477,6
2275,7545,7
2275,1203,8
2275,17,9
2275,226,10
680,3981,1
680,16045,2
680,28,3
680,14,4
680,14607,5
680,477,6
680,7545,7
680,1203,8
680,17,9
680,226,10
2832,3981,1
2832,16045,2
2832,28,3
2832,14,4
2832,14607,5
2832,477,6
2832,7545,7
2832,1203,8
2832,17,9
2832,226,10
1683,3981,1
1683,16045,2
1683,28,3
1683,14,4
1683,14607,5
1683,477,6
1683,7545,7
1683,1203,8
1683,17,9
1683,226,10
959,3981,1
959,16045,2
959,28,3
959,14,4
959,14607,5
959,477,6
959,7545,7
959,1203,8
959,17,9
959,226,10
1242,3981,1
1242,16045,2
1242,28,3
1242,14,4
1242,14607,5
1242,477,6
1242,7545,7
1242,1203,8
1242,17,9
1242,226,10
3738,3981,1
3738,16045,2
3738,28,3
3738,14,4
3738,14607,5
3738,477,6
3738,7545,7
3738,1203,8
3738,226,9
3738,17,10
4729,3981,1
4729,16045,2
4729,28,3
4729,14,4
4729,14607,5
4729,477,6
4729,7545,7
4729,1203,8
4729,17,9
4729,226,10
3933,3981,1
3933,16045,2
3933,28,3
3933,14,4
3933,14607,5
3933,477,6
3933,7545,7
3933,1203,8
3933,17,9
3933,226,10
