userId,itemId,rank
5115,12816,1
5115,1881,2
5115,12815,3
5115,3853,4
5115,10531,5
5115,7520,6
5115,12814,7
5115,8592,8
5115,10730,9
5115,5444,10
3369,9494,1
3369,6390,2
3369,10886,3
3369,8317,4
3369,9408,5
3369,11151,6
3369,4574,7
3369,5292,8
3369,8443,9
3369,11430,10
126,1253,1
126,3853,2
126,3347,3
126,824,4
126,11906,5
126,8132,6
126,8646,7
126,8384,8
126,978,9
126,14226,10
5297,12435,1
5297,9254,2
5297,10096,3
5297,5688,4
5297,1746,5
5297,11283,6
5297,3542,7
5297,978,8
5297,8647,9
5297,14952,10
5090,8525,1
5090,8134,2
5090,14455,3
5090,12263,4
5090,16414,5
5090,6750,6
5090,2739,7
5090,167,8
5090,5386,9
5090,4461,10
1098,14065,1
1098,13617,2
1098,1799,3
1098,11354,4
1098,12641,5
1098,12481,6
1098,4814,7
1098,11946,8
1098,1841,9
1098,13217,10
5366,16909,1
5366,1851,2
5366,1799,3
5366,7037,4
5366,10599,5
5366,7702,6
5366,6122,7
5366,9132,8
5366,15851,9
5366,224,10
4482,16833,1
4482,8232,2
4482,9924,3
4482,16192,4
4482,7182,5
4482,13605,6
4482,11355,7
4482,26,8
4482,9919,9
4482,3953,10
3948,1709,1
3948,13163,2
3948,3635,3
3948,10348,4
3948,12682,5
3948,14769,6
3948,11631,7
3948,14997,8
3948,4814,9
3948,3388,10
1819,7756,1
1819,9904,2
1819,12299,3
1819,16017,4
1819,9850,5
1819,16110,6
1819,6140,7
1819,12988,8
1819,8621,9
1819,2905,10
2796,15851,1
2796,11237,2
2796,15989,3
2796,1006,4
2796,14863,5
2796,6454,6
2796,12803,7
2796,9105,8
2796,16952,9
2796,13557,10
5472,9132,1
5472,9358,2
5472,12816,3
5472,3876,4
5472,14123,5
5472,14863,6
5472,605,7
5472,15237,8
5472,224,9
5472,15479,10
3431,15938,1
3431,12815,2
3431,175,3
3431,6028,4
3431,13622,5
3431,16140,6
3431,7782,7
3431,11125,8
3431,6488,9
3431,14467,10
3843,7706,1
3843,11754,2
3843,12299,3
3843,16017,4
3843,14102,5
3843,1921,6
3843,11030,7
3843,100,8
3843,15147,9
3843,6195,10
4469,8525,1
4469,12797,2
4469,9123,3
