userId,itemId,rank
5115,3734,1
5115,8728,2
5115,9007,3
5115,1203,4
5115,4797,5
5115,3057,6
5115,8727,7
5115,3739,8
5115,13180,9
5115,1998,10
3369,3981,1
3369,7545,2
3369,906,3
3369,9103,4
3369,7978,5
3369,8511,6
3369,7558,7
3369,76,8
3369,8160,9
3369,7940,10
126,16558,1
126,16559,2
126,14913,3
126,14384,4
126,15402,5
126,16487,6
126,14181,7
126,15237,8
126,15653,9
126,11688,10
5297,16508,1
5297,14938,2
5297,15237,3
5297,15402,4
5297,13619,5
5297,15096,6
5297,16454,7
5297,15649,8
5297,16487,9
5297,16595,10
5090,13603,1
5090,13418,2
5090,12948,3
5090,13519,4
5090,10785,5
5090,8214,6
5090,14400,7
5090,3124,8
5090,14947,9
5090,12106,10
1098,2691,1
1098,1152,2
1098,843,3
1098,917,4
1098,1928,5
1098,1903,6
1098,746,7
1098,3981,8
1098,5002,9
1098,3457,10
5366,16045,1
5366,11571,2
5366,14502,3
5366,13863,4
5366,7049,5
5366,2418,6
5366,14758,7
5366,14715,8
5366,16115,9
5366,5108,10
4482,2902,1
4482,954,2
4482,4448,3
4482,2589,4
4482,953,5
4482,969,6
4482,212,7
4482,2536,8
4482,6512,9
4482,950,10
3948,15,1
3948,14,2
3948,477,3
3948,28,4
3948,813,5
3948,485,6
3948,39,7
3948,3125,8
3948,5058,9
3948,27,10
1819,3236,1
1819,2715,2
1819,4808,3
1819,2985,4
1819,2472,5
1819,936,6
1819,2292,7
1819,3699,8
1819,1928,9
1819,843,10
2796,4349,1
2796,7410,2
2796,2100,3
2796,517,4
2796,5307,5
2796,7332,6
2796,5314,7
2796,1137,8
2796,234,9
2796,8333,10
5472,3981,1
5472,9103,2
5472,2124,3
5472,7545,4
5472,2389,5
5472,266,6
5472,2330,7
5472,8831,8
5472,3896,9
5472,10605,10
3431,7545,1
3431,9103,2
3431,9164,3
3431,14177,4
3431,3981,5
3431,12213,6
3431,11205,7
3431,14176,8
3431,11586,9
3431,8504,10
3843,3981,1
3843,6294,2
3843,13883,3
3843,15098,4
3843,28,5
3843,6964,6
3843,16353,7
3843,483,8
3843,1135,9
3843,3502,10
4469,1798,1
4469,6292,2
4469,2312,3
4469,3217,4
4469,6359,5
4469,3097,6
4469,5588,7
4469,6540,8
4469,3839,9
4469,1213,10
4135,1461,1
4135,1928,2
4135,1395,3
4135,5002,4
4135,2018,5
4135,936,6
4135,2007,7
4135,4484,8
4135,843,9
4135,3951,10
1956,9103,1
1956,7545,2
1956,3981,3
1956,709,4
1956,9164,5
1956,8420,6
1956,11091,7
1956,6164,8
1956,8160,9
1956,10605,10
3222,11887,1
3222,10352,2
3222,12571,3
3222,1261,4
3222,12498,5
3222,7262,6
3222,447,7
3222,882,8
3222,2057,9
3222,9457,10
3801,28,1
3801,12990,2
3801,6495,3
3801,10944,4
3801,485,5
3801,488,6
3801,15288,7
3801,481,8
3801,484,9
3801,477,10
2193,3981,1
2193,7545,2
2193,9103,3
2193,5034,4
2193,9164,5
2193,9966,6
2193,7922,7
2193,8160,8
2193,6541,9
2193,10605,10
3146,13078,1
3146,14782,2
