userId,itemId,rank
5115,2589,1
5115,7424,2
5115,948,3
5115,4579,4
5115,954,5
5115,5175,6
5115,294,7
5115,1915,8
5115,7947,9
5115,2531,10
3369,2164,1
3369,830,2
3369,2299,3
3369,896,4
3369,1350,5
3369,10681,6
3369,1038,7
3369,861,8
3369,14523,9
3369,13534,10
126,9271,1
126,1712,2
126,5919,3
126,1190,4
126,11593,5
126,6419,6
126,2208,7
126,10316,8
126,5312,9
126,13055,10
5297,9271,1
5297,5919,2
5297,1712,3
5297,6419,4
5297,1190,5
5297,11593,6
5297,2208,7
5297,10316,8
5297,13055,9
5297,14366,10
5090,9271,1
5090,5919,2
5090,6419,3
5090,13055,4
5090,3846,5
5090,14366,6
5090,6848,7
5090,5459,8
5090,6416,9
5090,2208,10
1098,5175,1
1098,6014,2
1098,1915,3
1098,7424,4
1098,1837,5
1098,570,6
1098,2785,7
1098,230,8
1098,1137,9
1098,3478,10
5366,1712,1
5366,9271,2
5366,11593,3
5366,5312,4
5366,1190,5
5366,2208,6
5366,6419,7
5366,5919,8
5366,10316,9
5366,5459,10
4482,2589,1
4482,4579,2
4482,954,3
4482,4663,4
4482,953,5
4482,948,6
4482,2593,7
4482,4137,8
4482,5926,9
4482,2902,10
3948,2164,1
3948,14607,2
3948,2299,3
3948,830,4
3948,16045,5
3948,1937,6
3948,861,7
3948,5312,8
3948,2609,9
3948,1931,10
1819,896,1
1819,2164,2
1819,14523,3
1819,2299,4
1819,13534,5
1819,14629,6
1819,10681,7
1819,13443,8
1819,1038,9
1819,13942,10
2796,5175,1
2796,6014,2
2796,1915,3
2796,230,4
2796,7424,5
2796,1137,6
2796,3478,7
2796,8177,8
2796,2531,9
2796,5772,10
5472,2164,1
5472,896,2
5472,2299,3
5472,10681,4
5472,14523,5
5472,13534,6
5472,1350,7
5472,830,8
5472,14629,9
5472,1038,10
3431,2164,1
3431,830,2
3431,2299,3
3431,1350,4
3431,896,5
3431,861,6
3431,10681,7
3431,1038,8
3431,1937,9
3431,2609,10
3843,896,1
3843,10681,2
3843,2299,3
3843,14523,4
3843,13534,5
3843,2164,6
3843,14629,7
3843,13443,8
3843,9026,9
3843,13942,10
4469,1712,1
4469,5312,2
4469,11593,3
4469,1190,4
4469,1700,5
4469,14607,6
4469,7025,7
4469,9271,8
4469,2365,9
4469,2208,10
4135,896,1
4135,2164,2
4135,2299,3
4135,14523,4
4135,13534,5
4135,10681,6
4135,14629,7
4135,1038,8
4135,13443,9
4135,1350,10
1956,2164,1
1956,2299,2
1956,830,3
1956,10681,4
1956,1350,5
1956,896,6
1956,861,7
1956,1038,8
1956,1937,9
1956,13883,10
3222,896,1
3222,10681,2
3222,14523,3
3222,2299,4
3222,13534,5
3222,2164,6
3222,13443,7
3222,14629,8
3222,9026,9
3222,13942,10
3801,2164,1
3801,2299,2
3801,10681,3
3801,830,4
3801,861,5
3801,1350,6
3801,1937,7
3801,2609,8
3801,896,9
3801,1038,10
2193,896,1
2193,2164,2
2193,14523,3
2193,2299,4
2193,13534,5
2193,10681,6
2193,13443,7
2193,14629,8
2193,1350,9
2193,13942,10
3146,9271,1
3146,5919,2
3146,6419,3
3146,13055,4
3146,1190,5
3146,14366,6
3146,5459,7
3146,2208,8
3146,10316,9
3146,1712,10
1752,2589,1
1752,4579,2
1752,954,3
1752,4663,4
1752,2593,5
1752,5926,6
1752,971,7
1752,4137,8
1752,948,9
1752,2902,10
863,2164,1
863,2299,2
863,896,3
863,830,4
863,1350,5
863,10681,6
863,1038,7
863,14523,8
863,13534,9
863,861,10
2922,9271,1
2922,5919,2
2922,1712,3
2922,6419,4
2922,1190,5
2922,11593,6
2922,2208,7
2922,10316,8
2922,13055,9
2922,14366,10
1108,1712,1
1108,5312,2
1108,11593,3
1108,9271,4
1108,1190,5
1108,2208,6
1108,6419,7
1108,2365,8
1108,5919,9
1108,10316,10
3039,1712,1
3039,5312,2
3039,1700,3
3039,11593,4
3039,7025,5
3039,1190,6
3039,2485,7
3039,14607,8
3039,2365,9
3039,1191,10
5358,5175,1
5358,6014,2
5358,230,3
5358,1915,4
5358,3478,5
5358,1137,6
5358,570,7
5358,1837,8
5358,1444,9
5358,7424,10
2591,896,1
2591,14523,2
2591,2164,3
2591,13534,4
2591,2299,5
2591,10681,6
2591,14629,7
2591,13443,8
2591,13942,9
2591,1350,10
1375,9271,1
1375,5919,2
1375,6419,3
1375,1190,4
1375,1712,5
1375,13055,6
1375,2208,7
1375,11593,8
1375,14366,9
1375,10316,10
5135,2164,1
5135,896,2
5135,2299,3
5135,14523,4
5135,10681,5
5135,13534,6
5135,830,7
5135,1350,8
5135,1038,9
5135,14629,10
2981,14607,1
2981,5312,2
2981,16045,3
2981,1712,4
2981,1700,5
2981,7025,6
2981,2164,7
2981,4648,8
2981,16388,9
2981,1519,10
1282,2164,1
1282,896,2
1282,2299,3
1282,10681,4
1282,830,5
1282,1350,6
1282,14523,7
1282,13534,8
1282,1038,9
1282,14629,10
2286,1712,1
2286,5312,2
2286,11593,3
2286,1190,4
2286,9271,5
2286,7025,6
2286,1700,7
2286,14607,8
2286,2208,9
2286,2365,10
915,2156,1
915,1700,2
915,830,3
915,829,4
915,2211,5
915,5312,6
915,2164,7
915,2485,8
915,987,9
915,988,10
4999,896,1
4999,14523,2
4999,2164,3
4999,13534,4
4999,2299,5
4999,10681,6
4999,14629,7
4999,13443,8
4999,13942,9
4999,13326,10
3514,2164,1
3514,861,2
3514,7424,3
3514,294,4
3514,1038,5
3514,2299,6
3514,2246,7
3514,830,8
3514,1931,9
3514,1915,10
5272,9271,1
5272,1712,2
5272,11593,3
5272,1190,4
5272,5919,5
5272,6419,6
5272,5312,7
5272,2208,8
5272,10316,9
5272,4968,10
841,1712,1
841,9271,2
841,5312,3
841,11593,4
841,1190,5
841,2208,6
841,6419,7
841,10316,8
841,2365,9
841,5919,10
213,2164,1
213,896,2
213,2299,3
213,10681,4
213,14523,5
213,1350,6
213,13534,7
213,830,8
213,14629,9
213,13443,10
5154,2164,1
5154,2299,2
5154,896,3
5154,1038,4
5154,1915,5
5154,7424,6
5154,14523,7
5154,14629,8
5154,13534,9
5154,1130,10
2519,896,1
2519,2164,2
2519,2299,3
2519,14523,4
2519,13534,5
2519,10681,6
2519,14629,7
2519,13443,8
2519,1350,9
2519,830,10
