userId,itemId,rank
5115,8445,1
5115,1888,2
5115,9326,3
5115,5278,4
5115,8824,5
5115,12707,6
5115,9191,7
5115,8138,8
5115,15871,9
5115,74,10
3369,6524,1
3369,5796,2
3369,14099,3
3369,6116,4
3369,14017,5
3369,15492,6
3369,3475,7
3369,1675,8
3369,4540,9
3369,13583,10
126,12915,1
126,9330,2
126,1634,3
126,13670,4
126,1273,5
126,8902,6
126,6825,7
126,7670,8
126,13865,9
126,5792,10
5297,7092,1
5297,4802,2
5297,11731,3
5297,5902,4
5297,11515,5
5297,8026,6
5297,1834,7
5297,706,8
5297,10299,9
5297,4909,10
5090,14087,1
5090,12915,2
5090,6243,3
5090,6851,4
5090,8855,5
5090,6777,6
5090,12673,7
5090,13021,8
5090,707,9
5090,428,10
1098,1636,1
1098,13931,2
1098,6524,3
1098,15837,4
1098,9051,5
1098,4742,6
1098,7759,7
1098,9960,8
1098,10780,9
1098,4329,10
5366,2291,1
5366,16402,2
5366,12621,3
5366,4740,4
5366,8330,5
5366,16605,6
5366,153,7
5366,15217,8
5366,7616,9
5366,13135,10
4482,11656,1
4482,15229,2
4482,13289,3
4482,3421,4
4482,12281,5
4482,15315,6
4482,7389,7
4482,3078,8
4482,3561,9
4482,8464,10
3948,3138,1
3948,14490,2
3948,14535,3
3948,13964,4
3948,13912,5
3948,15484,6
3948,4264,7
3948,1198,8
3948,2984,9
3948,7892,10
1819,7597,1
1819,11647,2
1819,4542,3
1819,8164,4
1819,4850,5
1819,994,6
1819,14033,7
1819,4249,8
1819,5691,9
1819,7386,10
2796,1651,1
2796,12735,2
2796,11128,3
2796,9792,4
2796,11715,5
2796,521,6
2796,14502,7
2796,16001,8
2796,15486,9
2796,12972,10
5472,8004,1
5472,7961,2
5472,1895,3
5472,7292,4
5472,4671,5
5472,8691,6
5472,2075,7
5472,1028,8
5472,8262,9
5472,13894,10
3431,16923,1
3431,7116,2
3431,14808,3
3431,2790,4
3431,2409,5
3431,5956,6
3431,13543,7
3431,4763,8
3431,10638,9
3431,12847,10
3843,3065,1
3843,8031,2
3843,13793,3
3843,7290,4
3843,10382,5
3843,15856,6
3843,12460,7
3843,5531,8
3843,1103,9
3843,2140,10
4469,14222,1
4469,16690,2
4469,3420,3
4469,6766,4
4469,13590,5
4469,8953,6
4469,13481,7
4469,4108,8
4469,4640,9
4469,16900,10
4135,9392,1
4135,16576,2
4135,13987,3
4135,14605,4
4135,5885,5
4135,5845,6
4135,5323,7
4135,8589,8
4135,15865,9
4135,4135,10
1956,16425,1
1956,2834,2
1956,7903,3
1956,3797,4
1956,7115,5
1956,1745,6
1956,1324,7
1956,12687,8
1956,1240,9
1956,3143,10
3222,290,1
3222,5979,2
3222,1081,3
3222,4649,4
3222,6300,5
3222,2813,6
3222,7463,7
3222,10624,8
3222,12690,9
3222,6592,10
3801,5008,1
3801,13115,2
3801,6765,3
3801,15567,4
3801,8867,5
3801,13131,6
3801,3883,7
3801,1202,8
3801,10952,9
3801,10444,10
2193,13619,1
2193,1813,2
2193,8762,3
2193,1068,4
2193,7706,5
2193,5219,6
2193,14140,7
2193,13878,8
2193,5492,9
2193,9944,10
3146,10202,1
3146,1067,2
3146,4222,3
3146,15627,4
3146,13229,5
3146,1316,6
3146,4561,7
3146,3068,8
3146,16828,9
3146,1077,10
1752,2547,1
1752,3978,2
1752,9359,3
1752,16927,4
1752,3208,5
1752,4484,6
1752,16001,7
1752,14971,8
1752,937,9
1752,3074,10
863,9240,1
863,13553,2
863,1348,3
863,1916,4
863,12478,5
863,5724,6
863,4959,7
863,12516,8
863,6857,9
863,10529,10
2922,9591,1
2922,1731,2
2922,1162,3
2922,15505,4
2922,9002,5
2922,8884,6
2922,16501,7
2922,8464,8
2922,1611,9
2922,8813,10
1108,7730,1
1108,15926,2
1108,10288,3
1108,8915,4
1108,14326,5
1108,11711,6
1108,7051,7
1108,3746,8
1108,8856,9
1108,14884,10
3039,6081,1
3039,4906,2
3039,984,3
3039,12457,4
3039,5045,5
3039,1161,6
3039,9147,7
3039,2812,8
3039,15237,9
3039,8681,10
5358,1117,1
5358,116,2
5358,5864,3
5358,5750,4
5358,12716,5
5358,6874,6
5358,16719,7
5358,2785,8
5358,6151,9
5358,772,10
2591,15210,1
2591,13492,2
2591,4814,3
2591,3673,4
2591,1813,5
2591,5450,6
2591,4094,7
2591,5429,8
2591,1110,9
2591,14298,10
1375,7602,1
1375,989,2
1375,6792,3
1375,13136,4
1375,7718,5
1375,22,6
1375,5309,7
1375,2225,8
1375,13003,9
1375,10671,10
5135,10281,1
5135,1250,2
5135,2889,3
5135,12099,4
5135,2748,5
5135,11640,6
5135,13939,7
5135,8474,8
5135,8010,9
5135,14354,10
2981,2119,1
2981,8501,2
2981,1311,3
2981,6116,4
2981,11507,5
2981,9358,6
2981,6056,7
2981,12362,8
2981,5451,9
2981,14476,10
1282,10564,1
1282,14509,2
1282,2223,3
1282,1109,4
1282,1715,5
1282,16838,6
1282,13715,7
1282,5316,8
1282,904,9
1282,16637,10
2286,15981,1
2286,1219,2
2286,14692,3
2286,2581,4
2286,12103,5
2286,4354,6
2286,11701,7
2286,10520,8
2286,1168,9
2286,1965,10
915,6649,1
915,2202,2
915,15634,3
915,13436,4
915,5389,5
915,7927,6
915,9934,7
915,13711,8
915,3223,9
915,520,10
4999,12923,1
4999,10775,2
4999,4160,3
4999,7714,4
4999,10447,5
4999,7231,6
4999,10001,7
4999,4585,8
4999,7081,9
4999,13410,10
3514,15670,1
3514,2888,2
3514,14753,3
3514,3133,4
3514,1947,5
3514,8635,6
