userId,itemId,rank
5115,3978,1
5115,10902,2
5115,3693,3
5115,4577,4
5115,16724,5
5115,16862,6
5115,9186,7
5115,4145,8
5115,2348,9
5115,13289,10
3369,7594,1
3369,3461,2
3369,14876,3
3369,6025,4
3369,9953,5
3369,9043,6
3369,4574,7
3369,4577,8
3369,13335,9
3369,6125,10
126,9694,1
126,8434,2
126,11893,3
126,1287,4
126,6158,5
126,7034,6
126,1126,7
126,3718,8
126,4461,9
126,380,10
5297,7659,1
5297,16595,2
5297,10585,3
5297,15614,4
5297,15874,5
5297,9846,6
5297,6129,7
5297,4123,8
5297,3960,9
5297,2210,10
5090,15160,1
5090,2480,2
5090,13235,3
5090,4579,4
5090,2090,5
5090,9571,6
5090,13544,7
5090,16373,8
5090,13233,9
5090,15561,10
1098,5574,1
1098,4988,2
1098,8782,3
1098,2080,4
1098,9074,5
1098,4969,6
1098,2134,7
1098,5812,8
1098,4257,9
1098,6760,10
5366,1233,1
5366,685,2
5366,16733,3
5366,4461,4
5366,15960,5
5366,345,6
5366,12156,7
5366,9524,8
5366,8531,9
5366,1054,10
4482,6776,1
4482,4486,2
4482,3374,3
4482,2630,4
4482,10516,5
4482,16503,6
4482,11756,7
4482,15846,8
4482,9102,9
4482,6298,10
3948,16227,1
3948,16187,2
3948,6726,3
3948,10520,4
3948,9985,5
3948,1386,6
3948,15308,7
3948,13259,8
3948,8045,9
3948,1666,10
1819,4512,1
1819,98,2
1819,13311,3
1819,10702,4
1819,8490,5
1819,8567,6
1819,3019,7
1819,6097,8
1819,1906,9
1819,10001,10
2796,16517,1
2796,14578,2
2796,12064,3
2796,5675,4
2796,5596,5
2796,4143,6
2796,297,7
2796,2476,8
2796,15934,9
2796,9782,10
5472,12837,1
5472,5648,2
5472,13438,3
5472,526,4
5472,13374,5
5472,16589,6
5472,13567,7
5472,10746,8
5472,2044,9
5472,1085,10
3431,1126,1
3431,5185,2
3431,11682,3
3431,311,4
3431,12612,5
3431,5961,6
3431,11381,7
3431,11007,8
3431,11653,9
3431,1524,10
3843,16868,1
3843,1461,2
3843,8695,3
3843,16757,4
3843,16514,5
3843,12157,6
3843,13602,7
3843,1810,8
3843,8410,9
3843,7854,10
4469,15776,1
4469,11117,2
4469,12771,3
4469,5204,4
4469,10510,5
4469,1042,6
4469,14632,7
4469,8889,8
4469,9672,9
4469,10756,10
4135,11140,1
4135,13483,2
4135,11848,3
4135,8317,4
4135,8234,5
4135,15615,6
4135,1446,7
4135,9216,8
4135,6322,9
4135,4755,10
1956,13760,1
1956,12447,2
1956,7736,3
1956,7384,4
1956,11411,5
1956,5796,6
1956,6283,7
1956,3828,8
1956,7067,9
1956,9143,10
3222,10764,1
3222,7661,2
3222,13928,3
3222,2878,4
3222,1109,5
3222,15607,6
3222,5645,7
3222,7262,8
3222,12434,9
3222,2113,10
3801,9262,1
3801,6853,2
3801,8427,3
3801,15846,4
3801,13930,5
3801,15601,6
3801,8370,7
3801,3338,8
3801,11466,9
3801,390,10
2193,3574,1
2193,11669,2
2193,11898,3
2193,700,4
2193,7779,5
2193,13252,6
2193,5779,7
2193,2975,8
2193,4997,9
2193,7705,10
3146,13495,1
3146,12212,2
3146,3542,3
3146,108,4
3146,15894,5
3146,12516,6
3146,6640,7
3146,3219,8
3146,4207,9
3146,1510,10
1752,15033,1
1752,5248,2
1752,9111,3
1752,2930,4
1752,3183,5
1752,7771,6
1752,1248,7
1752,7751,8
1752,3622,9
1752,16657,10
863,4512,1
863,15647,2
863,10728,3
863,14634,4
863,9618,5
863,10195,6
863,10400,7
863,15535,8
863,15912,9
863,11750,10
2922,5173,1
2922,5549,2
2922,14653,3
2922,6906,4
2922,2006,5
2922,6554,6
2922,3096,7
2922,4204,8
2922,11790,9
2922,14275,10
1108,14042,1
1108,14801,2
1108,1795,3
1108,16014,4
1108,13509,5
1108,4389,6
1108,2425,7
1108,16785,8
1108,14119,9
1108,2075,10
3039,15077,1
3039,616,2
3039,3883,3
3039,2540,4
3039,15415,5
3039,14842,6
3039,14632,7
3039,2946,8
3039,10087,9
3039,7236,10
5358,7586,1
5358,16341,2
5358,16183,3
5358,2798,4
5358,10838,5
5358,3232,6
5358,13315,7
5358,11573,8
5358,11988,9
5358,12137,10
2591,11904,1
2591,4883,2
2591,8831,3
2591,443,4
2591,10570,5
2591,1413,6
2591,9792,7
2591,13104,8
2591,12801,9
2591,9282,10
1375,10422,1
1375,12807,2
1375,10684,3
1375,1750,4
1375,2576,5
1375,13853,6
1375,12990,7
1375,9268,8
1375,6458,9
1375,16119,10
5135,12596,1
5135,8915,2
5135,15249,3
5135,15740,4
5135,14176,5
5135,15659,6
5135,2496,7
5135,1598,8
5135,151,9
5135,3845,10
2981,1808,1
2981,9951,2
2981,4526,3
2981,5383,4
2981,11259,5
2981,1251,6
2981,4907,7
2981,4053,8
2981,14214,9
2981,8442,10
1282,12462,1
1282,6833,2
1282,10337,3
1282,2740,4
1282,248,5
1282,2670,6
1282,5998,7
1282,5123,8
1282,5037,9
1282,1885,10
2286,16881,1
2286,2897,2
2286,7537,3
2286,3143,4
2286,4839,5
2286,7957,6
2286,15097,7
2286,4211,8
2286,8163,9
2286,3237,10
915,15517,1
915,11665,2
915,2617,3
915,4364,4
915,13765,5
915,8868,6
915,3848,7
915,13991,8
915,14832,9
915,13831,10
4999,2081,1
4999,11743,2
4999,10569,3
4999,2394,4
4999,16282,5
4999,14645,6
4999,10393,7
4999,14381,8
4999,24,9
4999,7288,10
3514,15364,1
3514,5619,2
3514,3158,3
