userId,itemId,rank
5115,13564,1
5115,11542,2
5115,9251,3
5115,8775,4
5115,1989,5
5115,11501,6
5115,5444,7
5115,9014,8
5115,9427,9
5115,13569,10
3369,4885,1
3369,6864,2
3369,3855,3
3369,1954,4
3369,12229,5
3369,4083,6
3369,13981,7
3369,13613,8
3369,4246,9
3369,13413,10
126,11375,1
126,5184,2
126,5340,3
126,14552,4
126,12405,5
126,11544,6
126,5688,7
126,15996,8
126,2157,9
126,12194,10
5297,6178,1
5297,4205,2
5297,13085,3
5297,1762,4
5297,774,5
5297,5824,6
5297,11519,7
5297,1362,8
5297,3306,9
5297,13519,10
5090,10391,1
5090,11805,2
5090,1514,3
5090,3938,4
5090,10686,5
5090,13544,6
5090,11250,7
5090,13257,8
5090,7540,9
5090,15195,10
1098,13795,1
1098,11139,2
1098,15661,3
1098,12983,4
1098,8962,5
1098,3219,6
1098,9475,7
1098,13542,8
1098,2513,9
1098,3398,10
5366,10980,1
5366,13022,2
5366,2714,3
5366,10332,4
5366,10403,5
5366,2320,6
5366,720,7
5366,12176,8
5366,14529,9
5366,3248,10
4482,4535,1
4482,16226,2
4482,14826,3
4482,15084,4
4482,16578,5
4482,6154,6
4482,12408,7
4482,5390,8
4482,8919,9
4482,8686,10
3948,15112,1
3948,3116,2
3948,3259,3
3948,9795,4
3948,258,5
3948,9010,6
3948,8662,7
3948,8803,8
3948,1989,9
3948,14238,10
1819,5349,1
1819,16462,2
1819,12806,3
1819,13370,4
1819,5373,5
1819,9173,6
1819,3602,7
1819,1905,8
1819,11519,9
1819,162,10
2796,16972,1
2796,1848,2
2796,12927,3
2796,11648,4
2796,160,5
2796,11542,6
2796,7796,7
2796,6894,8
2796,15652,9
2796,11691,10
5472,12591,1
5472,248,2
5472,12771,3
5472,6651,4
5472,6683,5
5472,9585,6
5472,16592,7
5472,8400,8
5472,7495,9
5472,2050,10
3431,2098,1
3431,8446,2
3431,10222,3
3431,16159,4
3431,14036,5
3431,11025,6
3431,7027,7
3431,16662,8
3431,14984,9
3431,12635,10
3843,16009,1
3843,10384,2
3843,12415,3
3843,5557,4
3843,10348,5
3843,7948,6
3843,6464,7
3843,8140,8
3843,15934,9
3843,13732,10
4469,12670,1
4469,4143,2
4469,10074,3
4469,8084,4
4469,517,5
4469,12952,6
4469,9438,7
4469,14283,8
4469,5559,9
4469,16742,10
4135,12658,1
4135,3111,2
4135,4163,3
4135,4512,4
4135,13153,5
4135,10114,6
4135,12068,7
4135,16612,8
4135,9990,9
4135,5468,10
1956,12173,1
1956,959,2
1956,11620,3
1956,803,4
1956,12538,5
1956,8269,6
1956,9261,7
1956,15941,8
1956,14873,9
1956,16560,10
3222,3306,1
3222,3137,2
3222,12936,3
3222,10537,4
3222,7779,5
3222,5371,6
3222,7343,7
3222,7935,8
3222,11746,9
3222,6698,10
3801,5122,1
3801,14026,2
3801,15001,3
3801,10293,4
3801,7446,5
3801,16978,6
3801,14773,7
3801,6556,8
3801,345,9
3801,13947,10
2193,1326,1
2193,7338,2
2193,12267,3
2193,7685,4
2193,4656,5
2193,14837,6
2193,7107,7
2193,2669,8
2193,10592,9
2193,8992,10
3146,6624,1
3146,4383,2
3146,1139,3
3146,757,4
3146,3330,5
3146,3540,6
3146,15353,7
3146,11543,8
3146,7853,9
3146,2302,10
1752,15062,1
1752,14555,2
1752,15136,3
1752,7375,4
1752,12839,5
1752,10045,6
1752,3759,7
1752,8525,8
1752,5362,9
1752,12130,10
863,7693,1
863,10477,2
863,10950,3
863,14811,4
863,674,5
863,2429,6
863,11886,7
863,8253,8
863,14319,9
863,4667,10
2922,8135,1
2922,16704,2
2922,13141,3
2922,14485,4
2922,15340,5
2922,12553,6
2922,3412,7
2922,3588,8
2922,1417,9
2922,12234,10
1108,14328,1
1108,6973,2
1108,13451,3
1108,5642,4
1108,15130,5
1108,15126,6
1108,8329,7
1108,9421,8
1108,9047,9
1108,15204,10
3039,15332,1
3039,9617,2
3039,6247,3
3039,2707,4
3039,862,5
3039,16044,6
3039,12884,7
3039,16135,8
3039,7242,9
3039,6800,10
5358,12594,1
5358,4662,2
5358,10238,3
5358,5954,4
5358,14668,5
5358,6389,6
5358,7100,7
5358,11224,8
5358,10642,9
5358,2425,10
2591,3040,1
2591,13359,2
2591,14308,3
2591,13256,4
2591,13011,5
2591,9184,6
2591,8999,7
2591,8900,8
2591,12360,9
2591,7258,10
1375,6563,1
1375,7896,2
1375,6413,3
1375,6037,4
1375,14159,5
1375,15448,6
1375,8733,7
1375,15132,8
1375,11071,9
1375,7022,10
5135,4266,1
5135,10262,2
5135,539,3
5135,15181,4
5135,14306,5
5135,4317,6
5135,16766,7
5135,12928,8
5135,12867,9
5135,4752,10
2981,13113,1
2981,9067,2
2981,6323,3
2981,5217,4
2981,7064,5
2981,12988,6
2981,13424,7
2981,13588,8
2981,16232,9
2981,12323,10
1282,12150,1
1282,6631,2
1282,5393,3
1282,12228,4
1282,13037,5
1282,11770,6
1282,2701,7
1282,1241,8
1282,9738,9
1282,4863,10
2286,3479,1
2286,15818,2
2286,16036,3
2286,15019,4
2286,6013,5
2286,2602,6
2286,14304,7
2286,12332,8
2286,7086,9
2286,16329,10
915,10534,1
915,13734,2
915,3312,3
915,11786,4
915,6654,5
915,2255,6
915,9258,7
915,12217,8
915,3599,9
915,11738,10
4999,10727,1
4999,13804,2
4999,14621,3
4999,12723,4
4999,10820,5
4999,7997,6
4999,2117,7
4999,2273,8
4999,12665,9
4999,15178,10
3514,8989,1
3514,7243,2
3514,13352,3
3514,10139,4
3514,817,5
3514,16698,6
3514,8110,7
3514,4246,8
3514,13270,9
3514,7181,10
5272,3159,1
5272,9544,2
5272,7351,3
5272,7885,4
5272,15083,5
5272,7655,6
5272,14413,7
5272,12192,8
5272,14293,9
5272,9798,10
841,588,1
841,15589,2
841,8343,3
841,16153,4
841,8441,5
841,12770,6
