userId,itemId,rank
5115,3734,1
5115,3064,2
5115,1110,3
5115,3056,4
5115,3063,5
5115,652,6
5115,8840,7
5115,3057,8
5115,4113,9
5115,3102,10
3369,3981,1
3369,7545,2
3369,9103,3
3369,9966,4
3369,9164,5
3369,10605,6
3369,2462,7
3369,5034,8
3369,2489,9
3369,615,10
126,16084,1
126,16105,2
126,15237,3
126,11577,4
126,16558,5
126,15093,6
126,14715,7
126,13262,8
126,13994,9
126,15041,10
5297,767,1
5297,1673,2
5297,14839,3
5297,14602,4
5297,12997,5
5297,15237,6
5297,16349,7
5297,14988,8
5297,16904,9
5297,16115,10
5090,11740,1
5090,12948,2
5090,14987,3
5090,12480,4
5090,14530,5
5090,12909,6
5090,13418,7
5090,12260,8
5090,10785,9
5090,13389,10
1098,2691,1
1098,7184,2
1098,13333,3
1098,4136,4
1098,1828,5
1098,4852,6
1098,1115,7
1098,8312,8
1098,10112,9
1098,11352,10
5366,16045,1
5366,14715,2
5366,13863,3
5366,7049,4
5366,13911,5
5366,767,6
5366,14758,7
5366,15815,8
5366,3440,9
5366,3804,10
4482,8799,1
4482,971,2
4482,2589,3
4482,4448,4
4482,2902,5
4482,953,6
4482,4663,7
4482,954,8
4482,972,9
4482,5872,10
3948,477,1
3948,485,2
3948,28,3
3948,14,4
3948,5,5
3948,703,6
3948,3125,7
3948,15,8
3948,27,9
3948,704,10
1819,2715,1
1819,2472,2
1819,1928,3
1819,2389,4
1819,2712,5
1819,3699,6
1819,1995,7
1819,3236,8
1819,2711,9
1819,2653,10
2796,888,1
2796,701,2
2796,1137,3
2796,4349,4
2796,1454,5
2796,1948,6
2796,4880,7
2796,1763,8
2796,176,9
2796,4247,10
5472,3981,1
5472,2389,2
5472,1928,3
5472,2350,4
5472,5120,5
5472,7545,6
5472,120,7
5472,917,8
5472,615,9
5472,4983,10
3431,3981,1
3431,6541,2
3431,7545,3
3431,14177,4
3431,9103,5
3431,8160,6
3431,5034,7
3431,13515,8
3431,12563,9
3431,9893,10
3843,12571,1
3843,11887,2
3843,369,3
3843,3981,4
3843,14607,5
3843,6294,6
3843,483,7
3843,2389,8
3843,2472,9
3843,7672,10
4469,490,1
4469,7390,2
4469,8005,3
4469,6359,4
4469,7747,5
4469,6292,6
4469,3839,7
4469,9579,8
4469,7388,9
4469,5588,10
4135,2914,1
4135,2445,2
