userId,itemId,rank
5115,13838,1
5115,8727,2
5115,3099,3
5115,7153,4
5115,3734,5
5115,7092,6
5115,8728,7
5115,3102,8
5115,3107,9
5115,8415,10
3369,69,1
3369,1400,2
3369,8160,3
3369,791,4
3369,10605,5
3369,6343,6
3369,8511,7
3369,1994,8
3369,979,9
3369,4852,10
126,8247,1
126,16598,2
126,15041,3
126,16714,4
126,16656,5
126,16926,6
126,16740,7
126,16666,8
126,16492,9
126,4970,10
5297,16716,1
5297,16349,2
5297,16433,3
5297,15663,4
5297,16807,5
5297,16822,6
5297,16510,7
5297,16546,8
5297,16526,9
5297,16362,10
5090,5435,1
5090,6116,2
5090,5705,3
5090,13033,4
5090,12909,5
5090,12948,6
5090,14978,7
5090,12532,8
5090,12260,9
5090,12703,10
1098,7184,1
1098,7205,2
1098,4136,3
1098,4669,4
1098,8931,5
1098,10101,6
1098,6603,7
1098,3730,8
1098,7429,9
1098,7038,10
5366,2418,1
5366,8280,2
5366,8150,3
5366,2576,4
5366,1626,5
5366,4329,6
5366,15983,7
5366,9855,8
5366,16825,9
5366,693,10
4482,3667,1
4482,3666,2
4482,10199,3
4482,2983,4
4482,2589,5
4482,3665,6
4482,1915,7
4482,3668,8
4482,8273,9
4482,9374,10
3948,16,1
3948,5,2
3948,926,3
3948,14,4
3948,917,5
3948,138,6
3948,453,7
3948,8035,8
3948,2,9
3948,1228,10
1819,1461,1
1819,3231,2
1819,1995,3
1819,3236,4
1819,1928,5
1819,2438,6
1819,2479,7
1819,4127,8
1819,936,9
1819,1117,10
2796,6257,1
2796,4349,2
2796,2727,3
2796,517,4
2796,4398,5
2796,2614,6
2796,10461,7
2796,11973,8
2796,4913,9
2796,4744,10
5472,369,1
5472,266,2
5472,906,3
5472,4040,4
5472,1928,5
5472,8158,6
5472,615,7
5472,9164,8
5472,3896,9
5472,1259,10
3431,2794,1
3431,11091,2
3431,9164,3
3431,14177,4
3431,12651,5
3431,13364,6
3431,12213,7
3431,11328,8
3431,12563,9
3431,1898,10
3843,9164,1
3843,1861,2
3843,8531,3
3843,6127,4
3843,7855,5
3843,11222,6
3843,1903,7
3843,2118,8
3843,13860,9
3843,12894,10
4469,6993,1
4469,7363,2
4469,5685,3
4469,490,4
4469,3050,5
4469,6025,6
4469,7390,7
4469,7388,8
4469,7387,9
4469,8005,10
4135,6326,1
4135,2018,2
4135,10233,3
4135,3830,4
4135,1469,5
4135,1461,6
4135,5009,7
4135,10093,8
4135,10194,9
4135,3633,10
1956,3981,1
1956,6544,2
1956,7940,3
1956,9164,4
1956,8511,5
1956,7763,6
1956,12635,7
1956,9174,8
1956,8504,9
1956,7558,10
3222,2389,1
3222,12498,2
3222,12846,3
3222,12571,4
3222,4435,5
3222,4421,6
3222,2533,7
3222,12604,8
3222,11200,9
3222,13960,10
3801,8114,1
3801,11567,2
3801,5058,3
3801,4030,4
3801,14,5
3801,22,6
3801,1353,7
3801,703,8
3801,10944,9
3801,4068,10
2193,9164,1
2193,10605,2
2193,9966,3
2193,10604,4
2193,7545,5
2193,1414,6
2193,3914,7
2193,1435,8
2193,2505,9
2193,8035,10
3146,3802,1
3146,13078,2
3146,5680,3
3146,5098,4
3146,5525,5
3146,10163,6
3146,8272,7
3146,10757,8
3146,13475,9
3146,3020,10
1752,3106,1
1752,11567,2
1752,3128,3
1752,5675,4
1752,599,5
1752,10018,6
1752,1173,7
1752,11138,8
1752,6722,9
1752,644,10
863,9164,1
863,10605,2
863,2768,3
863,450,4
863,3569,5
863,1038,6
863,5192,7
863,2598,8
863,2829,9
863,262,10
2922,11538,1
2922,9334,2
2922,13498,3
2922,13322,4
2922,12382,5
2922,11571,6
2922,14371,7
2922,13323,8
2922,11492,9
2922,5121,10
1108,13288,1
1108,3125,2
1108,10469,3
1108,14765,4
1108,12833,5
1108,15631,6
1108,5935,7
1108,11987,8
1108,15213,9
1108,16543,10
3039,5794,1
3039,2148,2
3039,152,3
3039,7250,4
3039,5556,5
3039,11767,6
3039,7116,7
3039,7459,8
3039,8973,9
3039,1626,10
5358,1987,1
5358,1456,2
5358,504,3
5358,6286,4
5358,1888,5
5358,4123,6
5358,5323,7
5358,1143,8
5358,762,9
5358,8100,10
2591,706,1
2591,721,2
2591,8721,3
2591,1398,4
2591,10154,5
2591,755,6
2591,773,7
2591,8458,8
2591,8457,9
2591,1463,10
1375,12516,1
1375,11367,2
1375,12494,3
1375,12125,4
1375,10894,5
1375,10903,6
1375,10645,7
1375,12477,8
1375,1702,9
1375,10426,10
5135,2901,1
5135,6933,2
5135,11142,3
5135,11350,4
5135,6684,5
5135,7090,6
5135,3419,7
5135,2989,8
5135,9348,9
5135,4994,10
2981,10546,1
2981,9281,2
2981,16341,3
2981,10469,4
2981,10594,5
2981,9942,6
2981,10116,7
2981,10427,8
2981,10545,9
2981,8213,10
1282,914,1
1282,2411,2
1282,8330,3
1282,5267,4
1282,7514,5
1282,1090,6
1282,5104,7
1282,3508,8
1282,2744,9
