,itemId,count,popClass
3981,3981,321,0
16045,16045,273,0
28,28,212,0
14,14,199,0
477,477,193,0
7545,7545,179,0
14607,14607,179,0
4179,4179,161,0
17,17,159,0
1200,1200,158,0
226,226,158,0
1203,1203,157,0
9103,9103,150,0
888,888,143,0
2240,2240,135,0
5034,5034,135,0
1090,1090,134,0
917,917,130,0
1192,1192,129,0
247,247,127,0
746,746,126,0
1673,1673,125,0
628,628,122,0
615,615,121,0
27,27,121,0
767,767,120,0
453,453,118,0
2216,2216,117,0
15,15,117,0
9966,9966,116,0
1665,1665,115,0
380,380,114,0
6541,6541,114,0
845,845,113,0
2221,2221,113,0
1181,1181,112,0
755,755,111,0
11567,11567,111,0
335,335,110,0
9164,9164,108,0
485,485,108,0
483,483,107,0
1009,1009,106,0
2489,2489,103,0
1538,1538,102,0
16,16,102,0
2462,2462,101,0
4130,4130,99,0
47,47,96,0
1213,1213,94,0
11100,11100,92,0
921,921,91,0
2445,2445,91,0
8160,8160,90,0
1937,1937,89,0
8158,8158,88,0
9392,9392,88,0
1944,1944,88,0
15815,15815,87,0
1903,1903,87,0
16318,16318,86,0
10605,10605,85,0
2,2,85,0
1395,1395,84,0
666,666,84,0
2350,2350,83,0
2389,2389,83,0
1928,1928,83,0
4689,4689,82,0
7922,7922,82,0
5267,5267,82,0
4069,4069,82,0
2411,2411,82,0
120,120,81,0
655,655,80,0
1891,1891,79,0
1199,1199,79,0
11571,11571,79,0
1104,1104,79,0
7170,7170,78,0
3591,3591,77,0
10944,10944,77,0
369,369,77,0
701,701,77,0
1974,1974,76,0
14715,14715,76,0
2691,2691,75,0
1005,1005,73,0
4808,4808,72,0
8504,8504,72,0
13561,13561,72,0
807,807,72,0
7049,7049,71,0
3185,3185,71,0
400,400,70,0
6347,6347,70,0
13786,13786,69,0
1152,1152,69,0
1700,1700,68,0
42,42,68,0
709,709,68,0
12571,12571,68,0
944,944,68,0
6294,6294,68,0
6495,6495,68,0
7672,7672,68,0
13410,13410,67,0
13773,13773,67,0
7135,7135,67,0
135,135,67,0
1115,1115,67,0
13863,13863,67,0
23,23,67,0
2472,2472,66,0
15324,15324,66,0
13778,13778,66,0
2235,2235,64,0
2914,2914,64,0
13770,13770,64,0
704,704,64,0
14502,14502,63,0
13781,13781,63,0
12244,12244,63,0
521,521,62,0
2715,2715,62,0
1264,1264,62,0
13718,13718,62,0
13712,13712,62,0
15531,15531,62,0
5120,5120,62,0
1122,1122,62,0
14276,14276,62,0
22,22,62,0
15197,15197,62,0
76,76,62,0
8511,8511,61,0
39,39,61,0
13769,13769,61,0
10539,10539,61,0
418,418,61,0
8303,8303,61,0
6359,6359,61,0
1194,1194,61,0
1113,1113,61,0
13663,13663,61,0
13753,13753,61,0
1476,1476,60,0
13911,13911,60,0
11138,11138,60,0
13757,13757,60,0
205,205,60,0
6188,6188,60,0
243,243,60,0
2596,2596,60,0
250,250,59,0
13768,13768,59,0
3808,3808,59,0
2712,2712,59,0
7763,7763,59,0
3050,3050,59,0
11328,11328,59,0
14758,14758,59,0
13787,13787,59,0
13748,13748,59,0
7025,7025,58,0
1401,1401,58,0
13713,13713,58,0
1631,1631,58,0
13719,13719,58,0
14988,14988,58,0
15358,15358,58,0
2794,2794,58,0
3414,3414,58,0
13721,13721,58,0
13697,13697,57,0
13661,13661,57,0
13632,13632,57,0
8721,8721,57,0
3175,3175,57,0
13695,13695,57,0
5855,5855,57,0
6432,6432,57,0
13653,13653,57,0
12830,12830,57,0
1209,1209,57,0
14177,14177,57,0
2292,2292,57,0
43,43,57,0
11300,11300,56,0
13630,13630,56,0
15856,15856,56,0
13716,13716,56,0
13717,13717,56,0
2166,2166,56,0
13676,13676,56,0
3802,3802,56,0
2798,2798,56,0
2710,2710,56,0
1117,1117,56,0
4812,4812,56,0
281,281,56,0
13638,13638,56,0
12563,12563,56,0
10363,10363,56,0
13662,13662,56,0
1755,1755,55,0
1357,1357,55,0
13752,13752,55,0
447,447,55,0
703,703,55,0
1259,1259,55,0
13670,13670,55,0
10043,10043,55,0
13674,13674,55,0
13683,13683,55,0
906,906,55,0
13639,13639,55,0
684,684,55,0
13134,13134,54,0
293,293,54,0
13750,13750,54,0
13782,13782,54,0
13780,13780,54,0
13665,13665,54,0
6304,6304,54,0
1861,1861,54,0
13714,13714,54,0
13715,13715,54,0
13651,13651,54,0
3660,3660,54,0
3096,3096,54,0
13774,13774,54,0
13699,13699,54,0
3775,3775,54,0
13654,13654,54,0
11205,11205,54,0
13912,13912,53,0
11203,11203,53,0
1142,1142,53,0
11586,11586,53,0
13788,13788,53,0
50,50,53,0
13659,13659,53,0
1657,1657,53,0
13656,13656,53,0
3440,3440,53,0
8420,8420,53,0
814,814,53,0
13636,13636,53,0
13680,13680,53,0
13635,13635,53,0
13666,13666,53,0
5058,5058,53,0
9914,9914,53,0
13678,13678,53,0
13690,13690,52,0
13693,13693,52,0
11887,11887,52,0
13700,13700,52,0
13672,13672,52,0
13675,13675,52,0
484,484,52,0
13702,13702,52,0
13703,13703,52,0
791,791,52,0
1568,1568,52,0
977,977,52,0
13749,13749,52,0
13709,13709,52,0
13722,13722,52,0
12213,12213,51,0
13747,13747,51,0
15267,15267,51,0
1791,1791,51,0
3125,3125,51,0
549,549,51,0
520,520,51,0
3631,3631,51,0
13710,13710,51,0
5690,5690,51,0
14782,14782,51,0
1919,1919,50,0
1922,1922,50,0
11264,11264,50,0
13637,13637,50,0
1764,1764,50,0
2388,2388,50,0
5161,5161,50,0
13681,13681,50,0
16493,16493,50,0
5,5,50,0
2211,2211,50,0
13685,13685,50,0
13686,13686,50,0
13673,13673,49,0
13688,13688,49,0
13754,13754,49,0
2038,2038,49,0
1588,1588,49,0
13762,13762,49,0
2018,2018,49,0
13765,13765,49,0
15783,15783,49,0
13766,13766,49,0
1767,1767,49,0
13649,13649,49,0
13767,13767,49,0
13707,13707,49,0
13515,13515,49,0
8750,8750,49,0
914,914,49,0
13664,13664,49,0
1948,1948,49,0
14045,14045,49,0
3569,3569,49,0
13671,13671,49,0
7940,7940,49,0
13691,13691,49,0
1955,1955,48,0
5312,5312,48,0
1353,1353,48,0
7978,7978,48,0
2768,2768,48,0
9954,9954,48,0
13631,13631,48,0
276,276,48,0
13756,13756,48,0
1616,1616,48,0
5966,5966,48,0
1629,1629,48,0
13763,13763,48,0
13704,13704,48,0
13698,13698,48,0
10430,10430,48,0
13775,13775,48,0
13687,13687,48,0
4780,4780,48,0
13669,13669,48,0
4329,4329,48,0
13667,13667,48,0
4983,4983,48,0
13904,13904,48,0
294,294,48,0
8791,8791,47,0
4020,4020,47,0
4040,4040,47,0
15073,15073,47,0
7358,7358,47,0
1027,1027,47,0
13660,13660,47,0
13689,13689,47,0
13648,13648,47,0
13694,13694,47,0
13696,13696,47,0
13650,13650,47,0
13701,13701,47,0
1898,1898,47,0
13779,13779,47,0
6290,6290,47,0
14042,14042,47,0
3,3,47,0
1477,1477,46,0
13751,13751,46,0
1590,1590,46,0
15878,15878,46,0
3236,3236,46,0
13727,13727,46,0
13772,13772,46,0
13776,13776,46,0
13771,13771,46,0
13711,13711,46,0
15323,15323,46,0
13634,13634,46,0
13720,13720,46,0
2390,2390,46,0
12082,12082,46,0
239,239,46,0
15113,15113,46,0
15609,15609,46,0
13677,13677,46,0
13684,13684,46,0
10608,10608,46,0
3638,3638,46,0
1900,1900,46,0
13657,13657,45,0
9790,9790,45,0
501,501,45,0
777,777,45,0
772,772,45,0
14716,14716,45,0
1557,1557,45,0
52,52,45,0
882,882,45,0
5346,5346,45,0
1175,1175,45,0
1177,1177,45,0
1114,1114,45,0
13652,13652,45,0
8326,8326,45,0
9133,9133,45,0
988,988,45,0
2358,2358,45,0
12453,12453,45,0
4547,4547,45,0
15223,15223,45,0
13708,13708,45,0
16475,16475,45,0
13883,13883,45,0
10983,10983,45,0
13705,13705,45,0
2653,2653,45,0
13706,13706,45,0
843,843,45,0
504,504,44,0
1987,1987,44,0
926,926,44,0
13682,13682,44,0
13692,13692,44,0
2446,2446,44,0
3319,3319,44,0
13633,13633,44,0
13658,13658,44,0
13668,13668,44,0
14808,14808,44,0
13679,13679,44,0
1632,1632,44,0
13655,13655,44,0
1277,1277,44,0
15237,15237,44,0
6430,6430,44,0
5088,5088,44,0
16084,16084,44,0
13764,13764,44,0
14041,14041,44,0
14043,14043,44,0
3839,3839,44,0
7147,7147,43,0
3804,3804,43,0
2944,2944,43,0
11186,11186,43,0
4068,4068,43,0
918,918,43,0
176,176,43,0
15354,15354,43,0
11515,11515,43,0
13777,13777,43,0
8831,8831,43,0
1439,1439,43,0
16386,16386,43,0
3726,3726,43,0
4202,4202,43,0
2788,2788,43,0
16156,16156,43,0
561,561,43,0
1035,1035,43,0
62,62,43,0
15309,15309,43,0
3097,3097,43,0
2433,2433,43,0
14040,14040,42,0
1454,1454,42,0
11091,11091,42,0
1350,1350,42,0
8853,8853,42,0
68,68,42,0
3914,3914,42,0
14035,14035,42,0
14044,14044,42,0
3951,3951,42,0
2985,2985,42,0
1648,1648,42,0
4030,4030,42,0
11538,11538,42,0
1794,1794,42,0
6164,6164,42,0
15983,15983,42,0
220,220,42,0
2167,2167,42,0
13789,13789,42,0
430,430,42,0
13563,13563,42,0
13755,13755,42,0
16115,16115,41,0
7786,7786,41,0
1565,1565,41,0
4303,4303,41,0
6613,6613,41,0
2418,2418,41,0
1796,1796,41,0
2920,2920,41,0
2744,2744,41,0
9953,9953,41,0
2227,2227,41,0
9442,9442,41,0
5959,5959,41,0
1690,1690,41,0
1180,1180,41,0
2364,2364,41,0
3381,3381,41,0
283,283,41,0
1456,1456,41,0
2434,2434,41,0
4367,4367,41,0
15614,15614,41,0
546,546,40,0
13476,13476,40,0
450,450,40,0
128,128,40,0
6850,6850,40,0
4620,4620,40,0
2087,2087,40,0
6218,6218,40,0
3120,3120,40,0
2164,2164,40,0
11651,11651,40,0
6721,6721,40,0
1012,1012,40,0
1640,1640,40,0
1995,1995,40,0
14877,14877,40,0
5772,5772,40,0
3582,3582,40,0
1677,1677,40,0
8756,8756,40,0
1704,1704,40,0
740,740,39,0
2803,2803,39,0
1345,1345,39,0
5108,5108,39,0
2979,2979,39,0
3012,3012,39,0
1219,1219,39,0
12842,12842,39,0
5259,5259,39,0
12205,12205,39,0
1584,1584,39,0
14635,14635,39,0
813,813,39,0
426,426,39,0
12115,12115,39,0
69,69,39,0
5152,5152,39,0
20,20,39,0
481,481,39,0
15263,15263,39,0
5211,5211,38,0
1931,1931,38,0
7558,7558,38,0
7790,7790,38,0
36,36,38,0
4080,4080,38,0
6393,6393,38,0
12330,12330,38,0
4946,4946,38,0
10505,10505,38,0
13958,13958,38,0
1208,1208,38,0
11577,11577,38,0
4795,4795,38,0
230,230,38,0
3292,3292,38,0
15294,15294,38,0
1020,1020,38,0
1626,1626,38,0
936,936,38,0
1747,1747,38,0
16706,16706,38,0
753,753,38,0
15184,15184,38,0
3495,3495,37,0
12790,12790,37,0
1365,1365,37,0
2789,2789,37,0
1398,1398,37,0
12990,12990,37,0
2711,2711,37,0
2378,2378,37,0
1461,1461,37,0
1500,1500,37,0
10071,10071,37,0
954,954,37,0
1773,1773,37,0
1137,1137,37,0
11593,11593,37,0
15098,15098,37,0
2263,2263,37,0
15041,15041,37,0
9463,9463,37,0
2451,2451,37,0
672,672,37,0
1021,1021,37,0
2053,2053,37,0
436,436,37,0
180,180,37,0
525,525,37,0
6257,6257,37,0
6091,6091,37,0
10962,10962,36,0
1184,1184,36,0
2306,2306,36,0
434,434,36,0
4045,4045,36,0
13109,13109,36,0
1810,1810,36,0
8114,8114,36,0
240,240,36,0
3930,3930,36,0
4820,4820,36,0
16959,16959,36,0
16043,16043,36,0
6537,6537,36,0
14116,14116,36,0
12377,12377,36,0
1283,1283,36,0
5570,5570,36,0
4,4,36,0
5814,5814,36,0
1634,1634,36,0
2236,2236,36,0
12997,12997,36,0
9768,9768,36,0
2323,2323,36,0
13568,13568,36,0
3176,3176,36,0
4269,4269,36,0
1941,1941,36,0
16105,16105,35,0
13475,13475,35,0
3616,3616,35,0
13043,13043,35,0
12526,12526,35,0
8878,8878,35,0
1418,1418,35,0
5002,5002,35,0
2778,2778,35,0
4925,4925,35,0
2832,2832,35,0
1763,1763,35,0
2078,2078,35,0
63,63,35,0
4306,4306,35,0
6484,6484,35,0
11236,11236,35,0
3313,3313,35,0
14288,14288,35,0
15600,15600,35,0
2233,2233,35,0
1586,1586,35,0
10530,10530,35,0
11939,11939,35,0
378,378,35,0
13130,13130,35,0
13979,13979,35,0
109,109,34,0
16749,16749,34,0
12379,12379,34,0
2853,2853,34,0
534,534,34,0
8776,8776,34,0
880,880,34,0
13247,13247,34,0
4281,4281,34,0
445,445,34,0
8188,8188,34,0
1403,1403,34,0
7969,7969,34,0
1370,1370,34,0
1910,1910,34,0
15256,15256,34,0
5001,5001,34,0
14938,14938,34,0
3699,3699,34,0
3291,3291,34,0
15512,15512,34,0
2007,2007,34,0
13028,13028,34,0
13443,13443,34,0
4533,4533,34,0
5467,5467,34,0
249,249,34,0
67,67,33,0
2300,2300,33,0
16155,16155,33,0
489,489,33,0
2549,2549,33,0
490,490,33,0
2928,2928,33,0
15345,15345,33,0
4516,4516,33,0
5944,5944,33,0
4070,4070,33,0
1303,1303,33,0
3637,3637,33,0
286,286,33,0
15944,15944,33,0
9597,9597,33,0
1526,1526,33,0
5711,5711,33,0
3091,3091,33,0
2770,2770,33,0
7169,7169,33,0
107,107,33,0
9210,9210,33,0
10681,10681,33,0
7004,7004,33,0
2473,2473,33,0
773,773,33,0
1469,1469,33,0
9472,9472,33,0
