userId,itemId,rank
1749564,325,1
1749564,7057,2
1749564,12398,3
1749564,1476,4
1749564,13556,5
1749564,17219,6
1749564,9864,7
1749564,1499,8
1749564,6007,9
1749564,16587,10
1680134,325,1
1680134,14550,2
1680134,12398,3
1680134,7057,4
1680134,13556,5
1680134,1017,6
1680134,1882,7
1680134,9864,8
1680134,8688,9
1680134,8226,10
488065,325,1
488065,12398,2
488065,13556,3
488065,7057,4
488065,9864,5
488065,1017,6
488065,1476,7
488065,1882,8
488065,2378,9
488065,8226,10
2132033,325,1
2132033,14550,2
2132033,12398,3
2132033,7057,4
2132033,13556,5
2132033,9864,6
2132033,1017,7
2132033,6974,8
2132033,1476,9
2132033,15296,10
1630326,325,1
1630326,12398,2
1630326,1017,3
1630326,7057,4
1630326,13556,5
1630326,1882,6
1630326,9864,7
1630326,10352,8
1630326,8688,9
1630326,2378,10
862746,14550,1
862746,325,2
862746,7057,3
862746,13556,4
862746,12398,5
862746,9864,6
862746,1476,7
862746,1017,8
862746,1882,9
862746,4306,10
396947,14550,1
396947,325,2
396947,1017,3
396947,16377,4
396947,13556,5
396947,12398,6
396947,1882,7
396947,4306,8
396947,4656,9
396947,7057,10
911635,325,1
911635,12398,2
911635,9864,3
911635,13556,4
911635,7057,5
911635,1017,6
911635,14550,7
911635,16587,8
911635,2378,9
911635,1476,10
2206276,325,1
2206276,12398,2
2206276,1017,3
2206276,13895,4
2206276,13556,5
2206276,17178,6
2206276,12397,7
2206276,1882,8
2206276,2566,9
2206276,10352,10
1935942,325,1
1935942,12398,2
1935942,13556,3
1935942,1476,4
1935942,7057,5
1935942,9864,6
1935942,1499,7
1935942,2378,8
1935942,8688,9
1935942,1017,10
2562858,325,1
2562858,12398,2
2562858,9864,3
2562858,1017,4
2562858,13556,5
2562858,2378,6
2562858,17682,7
2562858,1499,8
2562858,10352,9
2562858,2203,10
2619972,11064,1
2619972,6974,2
2619972,16587,3
2619972,4877,4
2619972,325,5
2619972,5103,6
2619972,4727,7
2619972,14869,8
2619972,1476,9
2619972,7057,10
518639,7057,1
518639,14550,2
518639,325,3
518639,4306,4
518639,13556,5
518639,12398,6
518639,4633,7
518639,1476,8
518639,11607,9
518639,16377,10
998114,6974,1
998114,11064,2
998114,7057,3
998114,4633,4
998114,2342,5
998114,6007,6
998114,325,7
998114,17219,8
998114,14550,9
998114,16587,10
1998812,16377,1
1998812,14550,2
1998812,4306,3
1998812,7057,4
1998812,325,5
1998812,1017,6
1998812,12398,7
1998812,1882,8
1998812,13556,9
1998812,2782,10
2476659,325,1
2476659,12398,2
2476659,13556,3
2476659,9864,4
2476659,7057,5
2476659,1017,6
2476659,2378,7
2476659,1476,8
2476659,1499,9
2476659,8688,10
161222,325,1
161222,12398,2
161222,13556,3
161222,7057,4
161222,1017,5
161222,9864,6
161222,1882,7
161222,14550,8
161222,2378,9
161222,8688,10
455958,325,1
455958,14550,2
455958,12398,3
455958,7057,4
455958,13556,5
455958,9864,6
455958,1017,7
455958,1476,8
455958,16587,9
455958,8688,10
1788855,325,1
1788855,1476,2
1788855,11607,3
1788855,12398,4
1788855,13556,5
1788855,2743,6
1788855,8191,7
1788855,1499,8
1788855,7057,9
1788855,9540,10
830932,8832,1
830932,872,2
830932,9540,3
830932,6007,4
830932,4877,5
830932,11903,6
830932,16587,7
830932,325,8
830932,7193,9
830932,17219,10
1693327,325,1
1693327,12398,2
1693327,7057,3
1693327,9864,4
1693327,13556,5
1693327,1476,6
1693327,1499,7
1693327,2378,8
1693327,16587,9
1693327,14550,10
2483298,325,1
2483298,12398,2
2483298,13556,3
2483298,1017,4
2483298,14550,5
2483298,7057,6
2483298,1882,7
2483298,9864,8
2483298,8688,9
2483298,8226,10
1424487,325,1
