userId,itemId,rank
1749564,15124,1
1749564,15205,2
1749564,16377,3
1749564,6037,4
1749564,14367,5
1749564,4306,6
1749564,11064,7
1749564,4996,8
1749564,7624,9
1749564,12232,10
1680134,15124,1
1680134,15205,2
1680134,16377,3
1680134,6037,4
1680134,14367,5
1680134,4306,6
1680134,11064,7
1680134,4996,8
1680134,7624,9
1680134,12232,10
488065,15124,1
488065,15205,2
488065,16377,3
488065,6037,4
488065,14367,5
488065,4306,6
488065,11064,7
488065,4996,8
488065,7624,9
488065,12232,10
2132033,15124,1
2132033,15205,2
2132033,16377,3
2132033,6037,4
2132033,14367,5
2132033,4306,6
2132033,11064,7
2132033,4996,8
2132033,7624,9
2132033,12232,10
1630326,15124,1
1630326,15205,2
1630326,16377,3
1630326,6037,4
1630326,14367,5
1630326,4306,6
1630326,11064,7
1630326,4996,8
1630326,7624,9
1630326,12232,10
862746,15124,1
862746,15205,2
862746,16377,3
862746,6037,4
862746,14367,5
862746,4306,6
862746,11064,7
862746,4996,8
862746,7624,9
862746,12232,10
396947,15124,1
396947,15205,2
396947,16377,3
396947,6037,4
396947,14367,5
396947,4306,6
396947,11064,7
396947,4996,8
396947,7624,9
396947,12232,10
911635,15124,1
911635,15205,2
911635,16377,3
911635,6037,4
911635,14367,5
911635,4306,6
911635,11064,7
911635,4996,8
911635,7624,9
911635,12232,10
2206276,15124,1
2206276,15205,2
2206276,16377,3
2206276,6037,4
2206276,14367,5
2206276,4306,6
2206276,11064,7
2206276,4996,8
2206276,7624,9
2206276,12232,10
1935942,15124,1
1935942,15205,2
1935942,16377,3
1935942,6037,4
1935942,14367,5
1935942,4306,6
1935942,11064,7
1935942,4996,8
1935942,7624,9
1935942,12232,10
2562858,15124,1
2562858,15205,2
2562858,16377,3
2562858,6037,4
2562858,14367,5
2562858,4306,6
2562858,11064,7
2562858,4996,8
2562858,7624,9
2562858,12232,10
2619972,15124,1
2619972,15205,2
2619972,16377,3
2619972,6037,4
2619972,14367,5
2619972,4306,6
2619972,11064,7
2619972,4996,8
2619972,7624,9
2619972,12232,10
518639,15124,1
518639,15205,2
518639,16377,3
518639,6037,4
518639,14367,5
518639,4306,6
518639,11064,7
518639,4996,8
518639,7624,9
518639,12232,10
998114,15124,1
998114,15205,2
998114,16377,3
998114,6037,4
998114,14367,5
998114,4306,6
998114,11064,7
998114,4996,8
998114,7624,9
998114,12232,10
1998812,15124,1
1998812,15205,2
1998812,16377,3
1998812,6037,4
1998812,14367,5
1998812,4306,6
1998812,11064,7
1998812,4996,8
1998812,7624,9
1998812,12232,10
2476659,15124,1
2476659,15205,2
2476659,16377,3
2476659,6037,4
2476659,14367,5
2476659,4306,6
2476659,11064,7
2476659,4996,8
2476659,7624,9
2476659,12232,10
161222,15124,1
161222,15205,2
161222,16377,3
161222,6037,4
161222,14367,5
161222,4306,6
161222,11064,7
161222,4996,8
161222,7624,9
161222,12232,10
455958,15124,1
455958,15205,2
455958,16377,3
455958,6037,4
455958,14367,5
455958,4306,6
455958,11064,7
455958,4996,8
455958,7624,9
455958,12232,10
1788855,15124,1
1788855,15205,2
1788855,16377,3
1788855,6037,4
1788855,14367,5
