userId,itemId,rank
1749564,4656,1
1749564,14550,2
1749564,11064,3
1749564,9728,4
1749564,12232,5
1749564,7617,6
1749564,7193,7
1749564,4306,8
1749564,2000,9
1749564,2209,10
1680134,4656,1
1680134,12232,2
1680134,10550,3
1680134,443,4
1680134,7971,5
1680134,15124,6
1680134,12672,7
1680134,2743,8
1680134,11607,9
1680134,14550,10
488065,12338,1
488065,7057,2
488065,11443,3
488065,17405,4
488065,14621,5
488065,3864,6
488065,10358,7
488065,6134,8
488065,6037,9
488065,10550,10
2132033,1145,1
2132033,15124,2
2132033,7617,3
2132033,15205,4
2132033,3427,5
2132033,4996,6
2132033,12672,7
2132033,6037,8
2132033,8644,9
2132033,11337,10
1630326,15205,1
1630326,4996,2
1630326,4972,3
1630326,12672,4
1630326,5939,5
1630326,2200,6
1630326,14367,7
1630326,15124,8
1630326,3427,9
1630326,10123,10
862746,8644,1
862746,2743,2
862746,12232,3
862746,13359,4
862746,11198,5
862746,8413,6
862746,6555,7
862746,7971,8
862746,443,9
862746,312,10
396947,4656,1
396947,7617,2
396947,1145,3
396947,5807,4
396947,11040,5
396947,3538,6
396947,13471,7
396947,6134,8
396947,12672,9
396947,13359,10
911635,10820,1
911635,11781,2
911635,9254,3
911635,3864,4
911635,7233,5
911635,7193,6
911635,14550,7
911635,7057,8
911635,11064,9
911635,13728,10
2206276,15124,1
2206276,4698,2
2206276,11781,3
2206276,14209,4
2206276,14367,5
2206276,5939,6
2206276,5054,7
2206276,9205,8
2206276,12343,9
2206276,17129,10
1935942,11064,1
1935942,12034,2
1935942,14869,3
1935942,7193,4
1935942,11781,5
1935942,5226,6
1935942,6974,7
1935942,6037,8
1935942,15425,9
1935942,13728,10
2562858,6833,1
2562858,15393,2
2562858,11337,3
2562858,15124,4
2562858,7032,5
2562858,10583,6
2562858,10436,7
2562858,14410,8
2562858,13728,9
2562858,9800,10
2619972,8644,1
2619972,6037,2
2619972,11064,3
2619972,12232,4
2619972,8387,5
2619972,15425,6
2619972,312,7
2619972,12161,8
2619972,11337,9
2619972,6974,10
518639,4656,1
518639,13359,2
518639,7971,3
518639,11607,4
518639,11173,5
518639,7617,6
518639,8644,7
518639,11064,8
518639,2743,9
518639,1145,10
998114,6037,1
998114,8644,2
998114,12232,3
998114,6134,4
998114,13359,5
998114,12161,6
998114,10550,7
998114,2112,8
998114,11173,9
998114,2743,10
1998812,11064,1
1998812,13923,2
1998812,4545,3
1998812,10225,4
1998812,5054,5
1998812,4656,6
1998812,9728,7
1998812,11701,8
1998812,14780,9
1998812,4306,10
2476659,312,1
2476659,11064,2
2476659,7647,3
2476659,9728,4
2476659,2000,5
2476659,10225,6
2476659,7193,7
2476659,14550,8
2476659,11198,9
2476659,6702,10
161222,16377,1
161222,7617,2
161222,15205,3
161222,4656,4
161222,15124,5
161222,1145,6
161222,12672,7
161222,7624,8
161222,11607,9
161222,4306,10
455958,6037,1
455958,8644,2
455958,15124,3
455958,12232,4
455958,2782,5
455958,3427,6
455958,14410,7
455958,12338,8
455958,1470,9
455958,10583,10
1788855,11064,1
1788855,12232,2
1788855,6974,3
1788855,312,4
1788855,14550,5
1788855,9818,6
1788855,5226,7
1788855,8644,8
1788855,1470,9
1788855,13728,10
830932,11064,1
830932,6974,2
830932,5226,3
830932,9818,4
830932,15425,5
830932,12232,6
830932,8387,7
830932,8016,8
830932,17387,9
830932,6555,10
1693327,12232,1
1693327,1470,2
1693327,8644,3
1693327,2342,4
1693327,13359,5
1693327,11607,6
1693327,6037,7
1693327,10550,8
1693327,12161,9
1693327,2743,10
2483298,1046,1
2483298,1145,2
2483298,13471,3
2483298,11040,4
2483298,4656,5
2483298,5807,6
2483298,16406,7
2483298,7617,8
2483298,14909,9
2483298,14621,10
1424487,7882,1
1424487,8644,2
1424487,12672,3
1424487,4951,4
1424487,5814,5
1424487,2200,6
1424487,708,7
1424487,9768,8
1424487,4656,9
1424487,6555,10
21364,13728,1
21364,2782,2
21364,3427,3
21364,16384,4
21364,11781,5
21364,14410,6
21364,5054,7
21364,15124,8
21364,12343,9
21364,14550,10
2600761,6037,1
2600761,8644,2
2600761,8387,3
2600761,14410,4
2600761,7193,5
2600761,11064,6
2600761,13728,7
2600761,15124,8
2600761,12232,9
2600761,6720,10
2437983,16377,1
2437983,9728,2
2437983,4656,3
2437983,10550,4
2437983,8644,5
2437983,10906,6
2437983,16384,7
2437983,11040,8
2437983,13471,9
2437983,15755,10
882300,7624,1
882300,6687,2
882300,13728,3
882300,5628,4
882300,708,5
882300,15124,6
882300,14410,7
882300,4656,8
882300,12034,9
882300,5112,10
1639417,6037,1
1639417,12232,2
1639417,11064,3
1639417,13728,4
1639417,6974,5
1639417,15124,6
1639417,8387,7
1639417,872,8
1639417,8644,9
1639417,2743,10
1821959,15124,1
1821959,15393,2
1821959,11337,3
1821959,3427,4
1821959,10583,5
1821959,13614,6
1821959,6833,7
1821959,4996,8
1821959,12343,9
1821959,7879,10
379615,16377,1
379615,7624,2
379615,15124,3
379615,16384,4
379615,4656,5
379615,5054,6
379615,4306,7
379615,5628,8
379615,7617,9
379615,15393,10
2232934,10550,1
2232934,8413,2
2232934,12232,3
2232934,1470,4
2232934,2743,5
2232934,12161,6
2232934,8644,7
2232934,443,8
2232934,13359,9
2232934,11173,10
1649513,15124,1
1649513,6037,2
1649513,8387,3
1649513,3427,4
1649513,7193,5
1649513,5939,6
1649513,14550,7
1649513,2782,8
1649513,4306,9
1649513,5054,10
1480109,6037,1
1480109,2782,2
1480109,13728,3
1480109,16384,4
1480109,15205,5
1480109,15124,6
1480109,12338,7
1480109,8644,8
1480109,11443,9
1480109,16377,10
798296,6471,1
798296,8251,2
798296,3727,3
798296,16914,4
798296,7498,5
798296,13147,6
798296,3705,7
798296,4430,8
798296,10779,9
798296,827,10
976165,11337,1
976165,15393,2
976165,6833,3
976165,15124,4
976165,4996,5
976165,14410,6
976165,6994,7
976165,16377,8
976165,10436,9
976165,9593,10
1242004,4656,1
1242004,16377,2
1242004,9728,3
1242004,11064,4
1242004,13923,5
1242004,4306,6
1242004,708,7
1242004,7624,8
1242004,5112,9
1242004,12034,10
2170189,8387,1
2170189,13728,2
2170189,14410,3
2170189,6974,4
2170189,12232,5
2170189,11337,6
2170189,11064,7
2170189,4306,8
2170189,14550,9
2170189,5571,10
2358123,8644,1
2358123,13359,2
2358123,10550,3
2358123,6037,4
2358123,1470,5
2358123,2743,6
2358123,11198,7
2358123,4951,8
2358123,4656,9
2358123,8387,10
1884497,14410,1
1884497,13728,2
1884497,14621,3
1884497,4972,4
1884497,11781,5
1884497,6720,6
1884497,8387,7
1884497,6037,8
1884497,10820,9
1884497,6931,10
2479500,11607,1
2479500,12232,2
2479500,11064,3
2479500,10550,4
2479500,14550,5
2479500,6974,6
2479500,4633,7
2479500,2782,8
2479500,13728,9
2479500,17174,10
1194694,16201,1
1194694,2465,2
1194694,11064,3
1194694,424,4
1194694,17387,5
1194694,5226,6
1194694,9991,7
1194694,15124,8
1194694,9048,9
1194694,6007,10
1422699,13728,1
1422699,10123,2
1422699,5054,3
1422699,708,4
1422699,12047,5
1422699,16384,6
1422699,7624,7
1422699,2782,8
1422699,12343,9
1422699,14410,10
1691072,312,1
1691072,11064,2
1691072,5226,3
1691072,15425,4
