userId,itemId,rank
1749564,13556,1
1749564,1476,2
1749564,8226,3
1749564,7057,4
1749564,9864,5
1749564,5092,6
1749564,17219,7
1749564,16587,8
1749564,8191,9
1749564,17682,10
1680134,13556,1
1680134,1947,2
1680134,12398,3
1680134,774,4
1680134,2566,5
1680134,2548,6
1680134,11050,7
1680134,7057,8
1680134,8226,9
1680134,1476,10
488065,13556,1
488065,1947,2
488065,774,3
488065,12398,4
488065,1795,5
488065,11050,6
488065,15267,7
488065,2548,8
488065,2566,9
488065,1476,10
2132033,13556,1
2132033,1947,2
2132033,12398,3
2132033,7057,4
2132033,774,5
2132033,14550,6
2132033,11662,7
2132033,1476,8
2132033,2566,9
2132033,13301,10
1630326,2566,1
1630326,774,2
1630326,1947,3
1630326,7057,4
1630326,14709,5
1630326,1409,6
1630326,15437,7
1630326,13301,8
1630326,12398,9
1630326,14550,10
862746,13556,1
862746,7057,2
862746,1947,3
862746,8226,4
862746,14550,5
862746,1476,6
862746,17219,7
862746,5092,8
862746,12398,9
862746,2548,10
396947,13556,1
396947,1947,2
396947,2566,3
396947,5837,4
396947,14550,5
396947,7057,6
396947,13301,7
396947,5414,8
396947,16377,9
396947,2548,10
911635,12398,1
911635,7057,2
911635,13556,3
911635,774,4
911635,1947,5
911635,9864,6
911635,17687,7
911635,11662,8
911635,15437,9
911635,1476,10
2206276,2566,1
2206276,15124,2
2206276,13728,3
2206276,16377,4
2206276,2782,5
2206276,32,6
2206276,14367,7
2206276,15205,8
2206276,14709,9
2206276,7057,10
1935942,9864,1
1935942,12398,2
1935942,774,3
1935942,209,4
1935942,17687,5
1935942,1795,6
1935942,8191,7
1935942,13556,8
1935942,1994,9
1935942,1476,10
2562858,6374,1
2562858,12343,2
2562858,15437,3
2562858,6833,4
2562858,9254,5
2562858,11064,6
2562858,13614,7
2562858,16587,8
2562858,13663,9
2562858,12398,10
2619972,9540,1
2619972,11064,2
2619972,5103,3
2619972,16587,4
2619972,872,5
2619972,6974,6
2619972,7057,7
2619972,6007,8
2619972,325,9
2619972,17219,10
518639,7057,1
518639,13556,2
518639,14550,3
518639,17219,4
518639,8226,5
518639,1476,6
518639,5092,7
518639,1947,8
518639,15296,9
518639,5103,10
998114,13556,1
998114,1476,2
998114,17219,3
998114,7057,4
998114,9864,5
998114,8191,6
998114,12398,7
998114,16587,8
998114,5103,9
998114,5092,10
1998812,7057,1
1998812,14550,2
1998812,2566,3
1998812,13728,4
1998812,2782,5
1998812,4306,6
1998812,16377,7
1998812,9826,8
1998812,14363,9
1998812,15296,10
2476659,12398,1
2476659,774,2
2476659,13556,3
2476659,9864,4
2476659,1947,5
2476659,15437,6
2476659,17687,7
2476659,1476,8
2476659,8191,9
2476659,1795,10
161222,13556,1
161222,1947,2
161222,12398,3
161222,774,4
161222,7057,5
161222,2566,6
161222,14550,7
161222,1476,8
161222,1409,9
161222,11662,10
455958,13556,1
455958,12398,2
455958,1947,3
455958,7057,4
455958,774,5
455958,1476,6
455958,9864,7
455958,11662,8
455958,14550,9
455958,8116,10
1788855,8226,1
1788855,5092,2
