userId,itemId,rank
1749564,3840,1
1749564,7057,2
1749564,8413,3
1749564,12672,4
1749564,7145,5
1749564,15755,6
1749564,11771,7
1749564,3161,8
1749564,4972,9
1749564,14364,10
1680134,17129,1
1680134,7899,2
1680134,6037,3
1680134,3489,4
1680134,7632,5
1680134,8334,6
1680134,5571,7
1680134,12096,8
1680134,13342,9
1680134,13501,10
488065,5651,1
488065,11198,2
488065,14940,3
488065,6219,4
488065,7356,5
488065,15919,6
488065,13298,7
488065,6510,8
488065,17565,9
488065,5665,10
2132033,1843,1
2132033,2775,2
2132033,4520,3
2132033,11985,4
2132033,14855,5
2132033,14780,6
2132033,4248,7
2132033,17215,8
2132033,13342,9
2132033,13827,10
1630326,4219,1
1630326,16788,2
1630326,11658,3
1630326,6110,4
1630326,16201,5
1630326,2851,6
1630326,4841,7
1630326,12221,8
1630326,17762,9
1630326,1482,10
862746,17195,1
862746,5187,2
862746,10426,3
862746,3972,4
862746,7249,5
862746,97,6
862746,8226,7
862746,14734,8
862746,17541,9
862746,6255,10
396947,16008,1
396947,2782,2
396947,10337,3
396947,14296,4
396947,4402,5
396947,872,6
396947,15393,7
396947,12191,8
396947,15105,9
396947,12690,10
911635,16384,1
911635,6693,2
911635,16465,3
911635,4841,4
911635,17474,5
911635,13865,6
911635,15945,7
911635,13798,8
911635,312,9
911635,13098,10
2206276,708,1
2206276,9757,2
2206276,10894,3
2206276,1582,4
2206276,15182,5
2206276,6994,6
2206276,13091,7
2206276,15755,8
2206276,13856,9
2206276,3098,10
1935942,14467,1
1935942,17565,2
1935942,9003,3
1935942,16491,4
1935942,14815,5
1935942,12940,6
1935942,13439,7
1935942,9298,8
1935942,16281,9
1935942,14484,10
2562858,3225,1
2562858,11152,2
2562858,8832,3
2562858,7627,4
2562858,12926,5
2562858,6464,6
2562858,8016,7
2562858,10583,8
2562858,6735,9
2562858,8339,10
2619972,4727,1
2619972,13098,2
2619972,15736,3
2619972,9728,4
2619972,4284,5
2619972,4652,6
2619972,3364,7
2619972,7696,8
2619972,14918,9
2619972,4520,10
518639,2851,1
518639,15800,2
518639,4219,3
518639,2528,4
518639,4520,5
518639,11080,6
518639,4862,7
518639,11315,8
518639,4877,9
518639,3605,10
998114,1939,1
998114,3617,2
998114,58,3
998114,708,4
998114,15116,5
998114,9110,6
998114,8483,7
998114,7249,8
998114,11307,9
998114,1295,10
1998812,3466,1
1998812,15163,2
