userId,itemId,rank
1749564,6392,1
1749564,7323,2
1749564,2473,3
1749564,12414,4
1749564,336,5
1749564,6771,6
1749564,5643,7
1749564,11708,8
1749564,9140,9
1749564,9752,10
1680134,15671,1
1680134,8832,2
1680134,3601,3
1680134,7778,4
1680134,4548,5
1680134,6639,6
1680134,13780,7
1680134,14484,8
1680134,1915,9
1680134,12851,10
488065,12536,1
488065,14431,2
488065,9133,3
488065,13888,4
488065,1817,5
488065,17681,6
488065,11905,7
488065,15998,8
488065,11300,9
488065,15911,10
2132033,365,1
2132033,16893,2
2132033,251,3
2132033,8223,4
2132033,16340,5
2132033,12141,6
2132033,11358,7
2132033,16057,8
2132033,4394,9
2132033,16305,10
1630326,15116,1
1630326,5586,2
1630326,6161,3
1630326,2491,4
1630326,9590,5
1630326,10506,6
1630326,7237,7
1630326,959,8
1630326,12595,9
1630326,6423,10
862746,2735,1
862746,9278,2
862746,6624,3
862746,4398,4
862746,14938,5
862746,13438,6
862746,12902,7
862746,7756,8
862746,3776,9
862746,1875,10
396947,5254,1
396947,16763,2
396947,8794,3
396947,11363,4
396947,2067,5
396947,13566,6
396947,2770,7
396947,15532,8
396947,15315,9
396947,12183,10
911635,5871,1
911635,9263,2
911635,5575,3
911635,7122,4
911635,15489,5
911635,17557,6
911635,9028,7
911635,11029,8
911635,5021,9
911635,11970,10
2206276,10663,1
2206276,10345,2
2206276,6091,3
2206276,8850,4
2206276,9218,5
2206276,10812,6
2206276,9953,7
2206276,15537,8
2206276,13598,9
2206276,2611,10
1935942,3829,1
1935942,1415,2
1935942,3495,3
1935942,12620,4
1935942,12437,5
1935942,13775,6
1935942,16807,7
1935942,15867,8
1935942,6374,9
1935942,4884,10
2562858,4248,1
2562858,6653,2
2562858,14704,3
2562858,7276,4
2562858,380,5
2562858,2199,6
2562858,10157,7
2562858,14017,8
2562858,15399,9
2562858,7969,10
2619972,5041,1
2619972,539,2
2619972,10671,3
2619972,2144,4
2619972,7579,5
2619972,15223,6
2619972,6243,7
2619972,2963,8
2619972,4059,9
2619972,16563,10
518639,13431,1
518639,15221,2
518639,8959,3
518639,6180,4
518639,621,5
518639,14191,6
518639,14657,7
518639,3395,8
518639,305,9
518639,15423,10
998114,5724,1
998114,2778,2
998114,12667,3
998114,7030,4
998114,7151,5
998114,8563,6
998114,12017,7
998114,6735,8
998114,11909,9
998114,6053,10
1998812,1409,1
1998812,5383,2
1998812,3023,3
1998812,6265,4
1998812,9856,5
1998812,15189,6
1998812,11798,7
1998812,9160,8
1998812,5968,9
1998812,5113,10
2476659,11678,1
2476659,513,2
2476659,10887,3
2476659,16717,4
2476659,6219,5
2476659,8564,6
2476659,9176,7
2476659,7793,8
2476659,567,9
2476659,11288,10
161222,17477,1
161222,9843,2
161222,15372,3
161222,6588,4
161222,12232,5
161222,8183,6
161222,16114,7
161222,12799,8
161222,11678,9
161222,15659,10
455958,990,1
455958,17036,2
455958,4102,3
455958,6731,4
455958,1866,5
455958,8511,6
455958,17443,7
455958,15402,8
455958,9382,9
455958,6520,10
1788855,10109,1
1788855,1209,2
1788855,1584,3
1788855,3847,4
1788855,1967,5
1788855,5518,6
1788855,17008,7
1788855,2566,8
1788855,828,9
1788855,17474,10
830932,5409,1
830932,10001,2
830932,16561,3
830932,4876,4
830932,15041,5
830932,10668,6
830932,2222,7
830932,6180,8
830932,2067,9
830932,13589,10
1693327,15824,1
1693327,4262,2
1693327,1433,3
1693327,9772,4
1693327,4748,5
1693327,4911,6
1693327,14053,7
1693327,15252,8
1693327,2179,9
1693327,5113,10
2483298,15439,1
2483298,6632,2
2483298,14597,3
2483298,4034,4
2483298,9135,5
2483298,10109,6
2483298,2394,7
2483298,2040,8
2483298,1398,9
2483298,4478,10
1424487,5777,1
1424487,3892,2
1424487,10828,3
1424487,11125,4
1424487,15750,5
1424487,8989,6
1424487,517,7
1424487,2277,8
1424487,10757,9
1424487,5677,10
21364,2144,1
21364,2859,2
21364,4763,3
21364,13467,4
21364,16817,5
21364,5178,6
21364,552,7
21364,6679,8
21364,15602,9
21364,10558,10
2600761,9918,1
2600761,7391,2
2600761,14012,3
2600761,4969,4
2600761,11046,5
2600761,14292,6
2600761,5789,7
2600761,7163,8
2600761,15294,9
2600761,9057,10
2437983,4514,1
2437983,6935,2
2437983,14602,3
2437983,11195,4
2437983,14569,5
2437983,9263,6
2437983,2434,7
2437983,1083,8
2437983,12799,9
2437983,3216,10
882300,13549,1
882300,5921,2
882300,5649,3
882300,4882,4
882300,11176,5
882300,15755,6
882300,3141,7
882300,1603,8
882300,6357,9
882300,9092,10
1639417,13312,1
1639417,15050,2
1639417,11461,3
1639417,13715,4
1639417,12527,5
1639417,15010,6
1639417,11740,7
1639417,17541,8
1639417,17219,9
1639417,10450,10
1821959,17577,1
1821959,11672,2
1821959,13550,3
1821959,12818,4
1821959,8990,5
1821959,3767,6
1821959,16033,7
1821959,13471,8
1821959,3436,9
1821959,13344,10
379615,15585,1
379615,13406,2
379615,1725,3
379615,2822,4
379615,4945,5
379615,9185,6
379615,13342,7
379615,12223,8
379615,13436,9
379615,17728,10
2232934,14129,1
2232934,16021,2
2232934,3869,3
2232934,3247,4
2232934,5885,5
2232934,16450,6
2232934,5024,7
2232934,6840,8
2232934,923,9
2232934,1247,10
1649513,10398,1
1649513,6481,2
1649513,16201,3
1649513,6519,4
1649513,8605,5
1649513,8322,6
1649513,2618,7
1649513,11681,8
1649513,10622,9
1649513,4884,10
1480109,13598,1
1480109,6381,2
1480109,1598,3
1480109,6503,4
1480109,12904,5
1480109,7803,6
1480109,752,7
1480109,9072,8
1480109,2639,9
1480109,14820,10
798296,17590,1
798296,7954,2
798296,1588,3
798296,12361,4
798296,15496,5
798296,7120,6
798296,4937,7
798296,16470,8
798296,5173,9
798296,11154,10
976165,14318,1
976165,4489,2
976165,9823,3
976165,2799,4
976165,11357,5
976165,10125,6
976165,3761,7
976165,1128,8
976165,7683,9
976165,990,10
1242004,15322,1
1242004,8111,2
1242004,12749,3
1242004,1716,4
1242004,16992,5
1242004,12445,6
1242004,1230,7
1242004,16449,8
1242004,11533,9
1242004,5235,10
2170189,7420,1
2170189,3695,2
2170189,9979,3
2170189,5261,4
2170189,3042,5
2170189,1415,6
2170189,17628,7
2170189,12397,8
2170189,15569,9
2170189,11414,10
2358123,1088,1
2358123,8779,2
2358123,16713,3
2358123,11086,4
2358123,5934,5
2358123,3681,6
2358123,6292,7
2358123,6322,8
2358123,4763,9
2358123,5853,10
1884497,6520,1
1884497,2653,2
1884497,6881,3
1884497,9537,4
1884497,17557,5
1884497,15622,6
1884497,1555,7
1884497,17522,8
1884497,7840,9
1884497,7197,10
2479500,17728,1
2479500,1072,2
2479500,16921,3
2479500,15090,4
2479500,3270,5
2479500,15315,6
2479500,14483,7
2479500,11875,8
2479500,6662,9
2479500,264,10
1194694,9621,1
1194694,4656,2
1194694,5041,3
1194694,17380,4
1194694,954,5
1194694,9160,6
1194694,13087,7
1194694,4911,8
1194694,14234,9
1194694,4692,10
1422699,13923,1
1422699,16171,2
1422699,14596,3
1422699,16294,4
1422699,8684,5
1422699,4628,6
1422699,16604,7
1422699,5649,8
1422699,17089,9
1422699,17410,10
1691072,10779,1
1691072,15300,2
1691072,7120,3
1691072,1691,4
1691072,9468,5
1691072,16418,6
1691072,13827,7
1691072,16416,8
1691072,11444,9
1691072,12260,10
1080122,2448,1
1080122,6107,2
1080122,5707,3
1080122,4626,4
1080122,10205,5
1080122,11358,6
1080122,17062,7
1080122,12721,8
1080122,2179,9
1080122,6640,10
1142264,8585,1
1142264,4471,2
1142264,2996,3
1142264,10881,4
1142264,15789,5
1142264,15562,6
1142264,10668,7
1142264,16609,8
1142264,793,9
1142264,6420,10
327721,5821,1
327721,8864,2
327721,3706,3
327721,11026,4
327721,5632,5
327721,10818,6
327721,14255,7
327721,2873,8
327721,16563,9
327721,2321,10
1336371,13927,1
1336371,1759,2
1336371,203,3
1336371,336,4
1336371,8826,5
1336371,1589,6
1336371,14876,7
1336371,7969,8
1336371,6126,9
1336371,9864,10
2535512,16419,1
2535512,1373,2
2535512,9831,3
2535512,17555,4
2535512,3868,5
2535512,14767,6
2535512,2994,7
2535512,16893,8
2535512,16353,9
2535512,7963,10
1887136,6679,1
1887136,11510,2
1887136,9918,3
1887136,13077,4
1887136,2181,5
1887136,8696,6
1887136,13721,7
1887136,6387,8
1887136,5802,9
1887136,7962,10
990297,1075,1
990297,8695,2
990297,4012,3
990297,17499,4
990297,4526,5
990297,4945,6
990297,17477,7
990297,2652,8
990297,4020,9
990297,1434,10
1629925,12620,1
1629925,8241,2
1629925,774,3
1629925,8802,4
1629925,6635,5
1629925,6659,6
1629925,882,7
1629925,6028,8
1629925,8522,9
1629925,16416,10
2484715,3473,1
2484715,1946,2
2484715,13923,3
2484715,7704,4
2484715,6280,5
2484715,8791,6
2484715,3870,7
2484715,14562,8
2484715,883,9
2484715,9725,10
318301,5898,1
318301,3670,2
318301,7688,3
318301,11384,4
318301,14879,5
318301,15441,6
318301,12938,7
318301,3605,8
318301,13933,9
318301,12828,10
719213,7709,1
719213,4395,2
719213,12291,3
719213,1550,4
719213,2510,5
719213,5695,6
719213,15691,7
719213,16616,8
719213,10726,9
719213,3211,10
2001197,17753,1
2001197,9513,2
2001197,11288,3
2001197,10629,4
2001197,15699,5
2001197,13489,6
2001197,11531,7
2001197,16908,8
2001197,11215,9
2001197,3028,10
1086481,15460,1
1086481,15827,2
1086481,9647,3
1086481,13317,4
1086481,14981,5
1086481,8956,6
1086481,5391,7
1086481,5302,8
1086481,10303,9
1086481,10450,10
1318303,13652,1
1318303,9092,2
1318303,11337,3
1318303,14320,4
1318303,3519,5
1318303,7553,6
1318303,14997,7
1318303,4284,8
1318303,17219,9
1318303,504,10
1432212,2132,1
1432212,8707,2
1432212,13910,3
1432212,13417,4
1432212,15084,5
1432212,8791,6
1432212,3546,7
1432212,10158,8
1432212,2065,9
1432212,193,10
1068053,13873,1
1068053,15838,2
1068053,6489,3
1068053,17689,4
1068053,16995,5
1068053,17070,6
1068053,9545,7
1068053,6449,8
1068053,146,9
1068053,16604,10
1845777,3141,1
1845777,13360,2
1845777,16466,3
1845777,3165,4
1845777,5103,5
1845777,17515,6
1845777,11054,7
1845777,16709,8
1845777,10881,9
1845777,4602,10
92399,14464,1
92399,2621,2
92399,17083,3
92399,15602,4
92399,10103,5
92399,15354,6
92399,8832,7
92399,5143,8
92399,15547,9
92399,10831,10
451937,8278,1
451937,12908,2
451937,7506,3
451937,7378,4
451937,8906,5
451937,12838,6
451937,4865,7
451937,3773,8
451937,13848,9
451937,14530,10
1022653,4230,1
1022653,7323,2
1022653,16982,3
1022653,16370,4
1022653,6399,5
1022653,2652,6
1022653,2809,7
1022653,3390,8
1022653,3340,9
1022653,13780,10
732907,10515,1
732907,8696,2
732907,13343,3
732907,3573,4
732907,454,5
732907,16766,6
732907,15215,7
732907,11627,8
732907,12431,9
732907,1363,10
770133,17265,1
770133,541,2
770133,14927,3
770133,13665,4
770133,1586,5
770133,13647,6
770133,12519,7
770133,10821,8
770133,1836,9
770133,7288,10
2166800,11054,1
2166800,8177,2
2166800,13007,3
2166800,4196,4
2166800,3655,5
2166800,6265,6
2166800,5826,7
2166800,4487,8
2166800,13367,9
2166800,11238,10
1728262,14484,1
1728262,5027,2
1728262,15047,3
1728262,15348,4
1728262,12644,5
1728262,1238,6
1728262,16028,7
1728262,4231,8
1728262,3714,9
1728262,1711,10
1491590,13884,1
1491590,13774,2
1491590,6458,3
1491590,4213,4
1491590,5113,5
1491590,4395,6
1491590,14226,7
1491590,13165,8
1491590,5205,9
1491590,9023,10
906835,10583,1
906835,2506,2
906835,4230,3
906835,15671,4
906835,17713,5
906835,13212,6
906835,9979,7
906835,12082,8
906835,2943,9
906835,14857,10
2229189,13742,1
2229189,3477,2
2229189,2181,3
2229189,5234,4
2229189,14991,5
2229189,2943,6
2229189,10891,7
2229189,9334,8
2229189,7890,9
2229189,15511,10
1736765,14141,1
1736765,10198,2
1736765,1118,3
1736765,1096,4
1736765,5910,5
1736765,16290,6
1736765,6685,7
1736765,80,8
1736765,2741,9
1736765,17440,10
589967,2573,1
589967,5653,2
589967,13264,3
589967,16663,4
589967,5552,5
589967,4835,6
589967,13085,7
589967,10548,8
589967,13258,9
589967,8845,10
2548811,15683,1
2548811,13336,2
2548811,5876,3
2548811,5815,4
2548811,11544,5
2548811,10198,6
2548811,1000,7
2548811,10986,8
2548811,15460,9
2548811,4219,10
214501,8822,1
214501,15033,2
214501,6444,3
214501,4860,4
214501,10104,5
214501,11556,6
214501,13998,7
214501,116,8
214501,13882,9
214501,12495,10
1397482,15537,1
1397482,5959,2
1397482,17022,3
1397482,3550,4
1397482,448,5
1397482,223,6
1397482,16287,7
1397482,17636,8
1397482,2220,9
1397482,2491,10
1305771,2016,1
1305771,926,2
1305771,10941,3
1305771,8342,4
1305771,11765,5
1305771,6545,6
1305771,13283,7
1305771,10234,8
1305771,5431,9
1305771,14855,10
94746,14543,1
94746,14760,2
94746,16702,3
94746,8995,4
94746,4623,5
94746,14734,6
94746,8251,7
94746,540,8
94746,12844,9
94746,7163,10
609829,8044,1
609829,5887,2
609829,281,3
609829,9885,4
609829,1063,5
609829,16039,6
609829,13362,7
609829,11215,8
609829,12533,9
609829,9455,10
157121,14596,1
157121,7681,2
157121,3351,3
157121,11198,4
157121,9507,5
157121,4952,6
157121,5461,7
157121,4733,8
157121,12537,9
157121,8063,10
1125980,443,1
1125980,13597,2
1125980,15796,3
1125980,7755,4
1125980,8488,5
1125980,3793,6
1125980,3424,7
1125980,10946,8
1125980,9667,9
1125980,2062,10
2449803,17747,1
2449803,17546,2
2449803,2268,3
2449803,15380,4
2449803,15623,5
2449803,5838,6
2449803,1660,7
2449803,12762,8
2449803,7464,9
2449803,5879,10
808604,7151,1
808604,6484,2
808604,13337,3
808604,15814,4
808604,1303,5
808604,9582,6
808604,2106,7
808604,8151,8
808604,8545,9
808604,806,10
1655025,11461,1
1655025,9269,2
1655025,14416,3
1655025,16466,4
1655025,6378,5
1655025,6357,6
1655025,8096,7
1655025,9561,8
1655025,8719,9
1655025,14258,10
437371,17062,1
437371,11326,2
437371,10260,3
437371,413,4
437371,2348,5
437371,10462,6
437371,5193,7
437371,11903,8
437371,13824,9
437371,6307,10
