userId,itemId,rank
1749564,13208,1
1749564,12279,2
1749564,15847,3
1749564,7196,4
1749564,8707,5
1749564,13598,6
1749564,4733,7
1749564,12551,8
1749564,17397,9
1749564,6071,10
1680134,17012,1
1680134,3023,2
1680134,8047,3
1680134,9271,4
1680134,774,5
1680134,17548,6
1680134,2106,7
1680134,17470,8
1680134,12897,9
1680134,4734,10
488065,9455,1
488065,13523,2
488065,7505,3
488065,14375,4
488065,15599,5
488065,10831,6
488065,771,7
488065,13586,8
488065,7612,9
488065,16027,10
2132033,2643,1
2132033,2832,2
2132033,8769,3
2132033,373,4
2132033,14253,5
2132033,17349,6
2132033,10651,7
2132033,832,8
2132033,4036,9
2132033,86,10
1630326,4181,1
1630326,3379,2
1630326,10125,3
1630326,11659,4
1630326,3549,5
1630326,8886,6
1630326,10645,7
1630326,8951,8
1630326,12521,9
1630326,5107,10
862746,12544,1
862746,1795,2
862746,8592,3
862746,16123,4
862746,9755,5
862746,193,6
862746,14461,7
862746,12239,8
862746,10720,9
862746,6185,10
396947,14253,1
396947,987,2
396947,8280,3
396947,7884,4
396947,13525,5
396947,16914,6
396947,13127,7
396947,16076,8
396947,4096,9
396947,13742,10
911635,16204,1
911635,4077,2
911635,4893,3
911635,2749,4
911635,4543,5
911635,16975,6
911635,10136,7
911635,6785,8
911635,17577,9
911635,15038,10
2206276,16908,1
2206276,6535,2
2206276,16030,3
2206276,452,4
2206276,13323,5
2206276,5767,6
2206276,17068,7
2206276,12496,8
2206276,5597,9
2206276,14486,10
1935942,8630,1
1935942,5407,2
1935942,3123,3
1935942,9026,4
1935942,1083,5
1935942,3847,6
1935942,4532,7
1935942,7436,8
1935942,16942,9
1935942,15683,10
2562858,10549,1
2562858,6936,2
2562858,7417,3
2562858,16036,4
2562858,8278,5
2562858,11481,6
2562858,14790,7
2562858,362,8
2562858,13164,9
2562858,12907,10
2619972,10562,1
2619972,16376,2
2619972,4385,3
2619972,14511,4
2619972,9462,5
2619972,9693,6
2619972,8529,7
2619972,3270,8
2619972,10682,9
2619972,1382,10
518639,8344,1
518639,9075,2
518639,3940,3
518639,1003,4
518639,7942,5
518639,4950,6
518639,16717,7
518639,13992,8
518639,17068,9
518639,13873,10
998114,17313,1
998114,13117,2
998114,4588,3
998114,6750,4
998114,16831,5
998114,8541,6
998114,2363,7
998114,11312,8
998114,15831,9
998114,14875,10
1998812,2544,1
1998812,2801,2
1998812,15086,3
1998812,14460,4
1998812,8307,5
1998812,16084,6
1998812,1942,7
1998812,6841,8
1998812,2309,9
1998812,2403,10
2476659,3185,1
2476659,5821,2
2476659,446,3
2476659,6440,4
2476659,4395,5
2476659,7869,6
2476659,840,7
2476659,16217,8
2476659,2898,9
2476659,9831,10
161222,17716,1
161222,6018,2
161222,6709,3
161222,15050,4
161222,12385,5
161222,1490,6
161222,7952,7
161222,4000,8
161222,14857,9
161222,11534,10
455958,13679,1
455958,6982,2
455958,3390,3
455958,11472,4
455958,911,5
455958,4585,6
455958,1769,7
455958,13240,8
455958,13077,9
455958,12809,10
1788855,6026,1
1788855,3231,2
1788855,13282,3
1788855,14828,4
1788855,8563,5
1788855,4430,6
1788855,12837,7
1788855,11450,8
1788855,16277,9
1788855,11603,10
830932,9150,1
830932,13500,2
830932,11246,3
830932,734,4
830932,13848,5
830932,14799,6
830932,182,7
830932,12934,8
830932,17733,9
830932,4308,10
1693327,8933,1
1693327,5910,2
1693327,8769,3
1693327,3387,4
1693327,7539,5
1693327,14790,6
1693327,4319,7
1693327,6399,8
1693327,8355,9
1693327,8935,10
2483298,724,1
2483298,6828,2
2483298,8560,3
2483298,5817,4
2483298,4539,5
2483298,10578,6
2483298,558,7
2483298,1038,8
2483298,11939,9
2483298,3908,10
1424487,14938,1
1424487,13652,2
1424487,14122,3
1424487,1686,4
1424487,2184,5
1424487,777,6
1424487,10873,7
1424487,4871,8
1424487,12714,9
1424487,16288,10
21364,16581,1
21364,6828,2
21364,16906,3
21364,11450,4
21364,518,5
21364,246,6
21364,9769,7
21364,17524,8
21364,14013,9
21364,13062,10
2600761,954,1
2600761,7595,2
2600761,9569,3
2600761,99,4
2600761,16226,5
2600761,3306,6
2600761,2510,7
2600761,1878,8
2600761,2179,9
2600761,13583,10
2437983,1698,1
2437983,4000,2
2437983,16819,3
2437983,11718,4
2437983,12001,5
2437983,3497,6
2437983,4395,7
2437983,16036,8
2437983,4292,9
2437983,11272,10
882300,1415,1
882300,12988,2
882300,1124,3
882300,12993,4
882300,2146,5
882300,13992,6
882300,1814,7
882300,6628,8
882300,3043,9
882300,10962,10
1639417,3436,1
1639417,2010,2
1639417,5172,3
1639417,3705,4
1639417,2394,5
1639417,6296,6
1639417,5431,7
1639417,10303,8
1639417,7489,9
1639417,10630,10
1821959,5012,1
1821959,17739,2
1821959,15933,3
1821959,13334,4
1821959,12883,5
1821959,11570,6
1821959,150,7
1821959,16814,8
1821959,5903,9
1821959,12632,10
379615,8408,1
379615,16807,2
379615,4230,3
379615,578,4
379615,17765,5
379615,10780,6
379615,4035,7
379615,7028,8
379615,15291,9
379615,15218,10
2232934,16934,1
2232934,4606,2
2232934,4188,3
2232934,13715,4
2232934,12395,5
2232934,12527,6
2232934,5511,7
2232934,16477,8
2232934,10962,9
2232934,17436,10
1649513,16921,1
1649513,7960,2
1649513,10677,3
1649513,365,4
