userId,itemId,rank
1749564,6974,1
1749564,15421,2
1749564,4633,3
1749564,17474,4
1749564,13847,5
1749564,12500,6
1749564,10986,7
1749564,312,8
1749564,7193,9
1749564,8634,10
1680134,11607,1
1680134,13359,2
1680134,14550,3
1680134,4306,4
1680134,10550,5
1680134,3538,6
1680134,13728,7
1680134,7617,8
1680134,443,9
1680134,4656,10
488065,14210,1
488065,14550,2
488065,3593,3
488065,6037,4
488065,2342,5
488065,11040,6
488065,8644,7
488065,12338,8
488065,2743,9
488065,7057,10
2132033,11337,1
2132033,15124,2
2132033,14550,3
2132033,1470,4
2132033,8644,5
2132033,6037,6
2132033,13614,7
2132033,14621,8
2132033,13728,9
2132033,14410,10
1630326,6037,1
1630326,5939,2
1630326,13728,3
1630326,2782,4
1630326,3427,5
1630326,4306,6
1630326,16469,7
1630326,8387,8
1630326,6931,9
1630326,12338,10
862746,14550,1
862746,6974,2
862746,4306,3
862746,1476,4
862746,12667,5
862746,10620,6
862746,7057,7
862746,4320,8
862746,2782,9
862746,14918,10
396947,12305,1
396947,14550,2
396947,7617,3
396947,3605,4
396947,16377,5
396947,5807,6
396947,12672,7
396947,15755,8
396947,2209,9
396947,4656,10
911635,6974,1
911635,14550,2
911635,11064,3
911635,12034,4
911635,13614,5
911635,7057,6
911635,7193,7
911635,11152,8
911635,3864,9
911635,7233,10
2206276,752,1
2206276,5939,2
2206276,345,3
2206276,16937,4
2206276,14214,5
2206276,209,6
2206276,138,7
2206276,15699,8
2206276,3523,9
2206276,822,10
1935942,6974,1
1935942,11064,2
1935942,1470,3
1935942,329,4
1935942,13614,5
1935942,11152,6
1935942,4306,7
1935942,14550,8
1935942,14601,9
1935942,12232,10
2562858,3274,1
2562858,12343,2
2562858,15769,3
2562858,2782,4
2562858,6720,5
2562858,2751,6
2562858,15296,7
2562858,4225,8
2562858,7032,9
2562858,1645,10
2619972,11064,1
2619972,14550,2
2619972,4727,3
2619972,8832,4
2619972,1770,5
2619972,16604,6
2619972,13856,7
2619972,6974,8
2619972,15425,9
2619972,2944,10
518639,11607,1
518639,3730,2
518639,12232,3
518639,14550,4
518639,7057,5
518639,12338,6
518639,10550,7
518639,10854,8
518639,15997,9
518639,516,10
998114,2743,1
998114,6007,2
998114,4633,3
998114,17474,4
998114,6974,5
998114,12500,6
998114,13359,7
998114,12338,8
998114,17682,9
998114,10986,10
1998812,14550,1
1998812,16377,2
1998812,4306,3
1998812,2782,4
1998812,14621,5
1998812,16128,6
1998812,7057,7
1998812,9728,8
1998812,14869,9
1998812,2209,10
2476659,516,1
2476659,13326,2
2476659,569,3
2476659,14550,4
2476659,7647,5
2476659,7589,6
2476659,11064,7
2476659,7193,8
2476659,7696,9
2476659,14484,10
161222,16377,1
161222,11607,2
161222,14457,3
161222,7617,4
161222,14367,5
161222,4306,6
161222,12672,7
161222,16384,8
161222,11040,9
161222,14550,10
455958,14550,1
455958,11064,2
455958,8116,3
455958,6974,4
455958,13614,5
455958,11607,6
455958,4306,7
455958,2782,8
455958,14621,9
455958,7057,10
1788855,10786,1
1788855,443,2
1788855,13073,3
1788855,11607,4
1788855,14376,5
1788855,13990,6
1788855,9690,7
1788855,17387,8
1788855,12232,9
1788855,17591,10
830932,872,1
830932,6085,2
830932,8832,3
830932,11903,4
830932,10277,5
830932,14828,6
830932,8806,7
830932,3223,8
830932,15997,9
830932,1128,10
1693327,12232,1
1693327,2743,2
1693327,16201,3
1693327,1470,4
1693327,6974,5
1693327,5226,6
1693327,2342,7
1693327,17174,8
1693327,11607,9
1693327,11064,10
2483298,14550,1
2483298,11040,2
2483298,16377,3
2483298,1145,4
2483298,4656,5
2483298,11607,6
2483298,4306,7
2483298,7233,8
2483298,7937,9
2483298,7617,10
1424487,11688,1
1424487,6254,2
1424487,10664,3
1424487,3581,4
1424487,14779,5
1424487,5854,6
1424487,10300,7
1424487,9954,8
1424487,1912,9
1424487,14456,10
21364,14550,1
21364,13550,2
21364,14367,3
21364,15296,4
21364,16604,5
21364,11064,6
21364,15634,7
21364,1912,8
21364,6974,9
21364,15124,10
2600761,14550,1
2600761,14621,2
2600761,7057,3
2600761,6974,4
2600761,7193,5
2600761,8387,6
2600761,6510,7
2600761,46,8
2600761,7767,9
2600761,4306,10
2437983,11607,1
2437983,5807,2
2437983,10550,3
2437983,11739,4
2437983,14550,5
2437983,16377,6
2437983,11662,7
2437983,11337,8
2437983,10358,9
2437983,12672,10
