BASELINE	EFF	KL-U-psi-Pr	KL-I-psi-Pr	KL-U-psi-Un	KL-I-psi-Un	KL-U-Exp-Un	KL-U-Exp-Pr	KL-U-Exp-UtilEq	KL-U-Eff-Un	KL-U-Eff-Pr	KL-U-Ef-UtilEq	KL-I-Exp-Un	KL-I-Exp-Pr	KL-I-Exp-UtilEq	KL-I-Eff-Un	KL-I-Eff-Pr	KL-I-Ef-UtilEq	MI-U-I-Psi	MI-U-I-Exp	MI-U-I-Eff	MI-u-I-Psi	MI-u-I-Exp	MI-u-I-Eff	MI-U-i-Psi	MI-U-i-Exp	MI-U-i-Eff
ORACLE	0.291656	0.045	0.045	0.176	0.045	0.289	0	0.039	0.172	0.048	0	0.198	0.026	0.002	0.152	0.217	0.058	0.042	0.0137	0.1515	0.057	0.019	0.197	0.057	0.02	0.186
RAND	0.220628	0.045	0.045	0.176	0.045	0.289	0	0.039	0.171	0.051	0	0.283	0	0.036	0.166	0.053	0	0.042	0.0003	0.0496	0.057	0.004	0.072	0.057	0.004	0.071
POPULARITY	0.275016	0.045	0.045	0.176	0.045	0.289	0	0.039	0.194	0.036	0	0.202	0.026	0.002	0.173	0.178	0.042	0.042	0	0.0621	0.057	0	0.082	0.057	0	0.076
RANDOMIZED_ORACLE	0.272636	0.045	0.045	0.176	0.045	0.289	0	0.039	0.178	0.044	0	0.215	0.016	0.006	0.151	0.169	0.036	0.042	0.0075	0.1187	0.057	0.012	0.163	0.057	0.012	0.152
ITEM_GROUP_SIZE_NORMALIZED_ORACLE	0.272648	0.045	0.045	0.176	0.045	0.289	0	0.039	0.137	0.06	0.002	0.088	0.085	0.016	0.066	0.37	0.14	0.042	0.0009	0.0721	0.057	0.001	0.108	0.057	0.003	0.097
ITEM_GROUP_EXPOSURE_CALIBRATED_ORACLE	0.287854	0.045	0.045	0.176	0.045	0.289	0	0.039	0.166	0.05	0	0.153	0.055	0	0.124	0.289	0.093	0.042	0.0065	0.1158	0.057	0.011	0.172	0.057	0.011	0.148
ITEM_GROUP_EXPOSURE_CALIBRATED_ORACLE_RAND	0.234936	0.045	0.045	0.176	0.045	0.289	0	0.039	0.143	0.057	0.001	0.162	0.047	0	0.094	0.244	0.069	0.042	0	0.0478	0.057	0.001	0.069	0.057	0.001	0.061
ITEM_USER_GROUP_DEBIASED_ORACLE	0.279406	0.045	0.045	0.176	0.045	0.289	0	0.039	0.151	0.055	0	0.095	0.074	0.014	0.074	0.33	0.117	0.042	0.0013	0.0872	0.057	0.004	0.139	0.057	0.005	0.119
ITEM_GROUP_SINGLE_USER_DEBIASED_ORACLE	0.26531	0.045	0.045	0.176	0.045	0.289	0	0.039	0.121	0.066	0.005	0.078	0.09	0.021	0.052	0.399	0.16	0.042	0	0.0551	0.057	0	0.078	0.057	0.001	0.073
USER_GROUP_SINGLE_ITEM_DEBIASED_ORACLE	0.281114	0.045	0.045	0.176	0.045	0.289	0	0.039	0.188	0.039	0	0.186	0.034	0	0.156	0.221	0.06	0.042	0	0.064	0.057	0.009	0.134	0.057	0	0.076
